#resid average_duration max_duration persistent_contacts
1 3.2984542211652794 18 841
10 3.376068376068376 28 819
11 3.236899563318777 16 916
12 3.222698072805139 32 467
13 3.291767554479419 18 826
14 3.1542610571736787 19 927
15 3.4429028815368197 43 937
16 3.2777212614445577 21 983
17 3.2468354430379747 21 948
18 3.2659019812304484 32 959
19 3.2411347517730498 17 846
2 3.3587786259541983 23 786
20 3.3719298245614033 17 855
21 3.3122923588039868 22 903
22 3.2310267857142856 20 896
23 3.358946212952799 21 911
24 3.321629213483146 15 712
25 3.277179236043095 16 1021
26 3.263333333333333 12 600
3 3.298780487804878 17 656
4 3.362297496318115 18 679
5 3.2741573033707865 43 890
6 3.288961038961039 23 924
7 3.2402957486136783 18 541
8 3.2575342465753425 15 365
9 3.265217391304348 28 920
#TOTAL_CONTACTS 47606 for 10100 frames
