#resid average_duration max_duration persistent_contacts
1 3.2267156862745097 17 816
10 3.191946308724832 22 745
11 3.070140280561122 14 499
12 3.186304128902316 17 993
13 3.301749271137026 24 686
14 3.22125 17 800
15 3.4030261348005504 27 727
16 3.351075877689694 16 883
17 3.2563829787234044 17 940
18 3.2215777262180976 15 862
19 3.1262939958592133 29 966
2 3.236051502145923 22 932
20 3.483957219251337 30 748
21 3.191435768261965 32 794
22 3.1105882352941174 19 425
23 3.2016129032258065 22 868
24 3.224066390041494 20 964
25 3.2947845804988662 24 882
26 3.3710462287104623 20 822
3 3.178168130489335 17 797
4 3.2562874251497007 23 835
5 3.273758865248227 14 705
6 3.1942604856512142 20 906
7 3.2613065326633164 21 796
8 3.2719836400817996 27 489
9 3.4750733137829912 32 682
#TOTAL_CONTACTS 46761 for 10100 frames
