#resid average_duration max_duration persistent_contacts
1 3.316105769230769 33 832
10 3.429090909090909 26 550
11 3.34375 33 928
12 3.449655172413793 32 725
13 3.1397970687711387 18 887
14 3.2556818181818183 18 880
15 3.219288174512055 23 871
16 3.2312056737588652 16 705
17 3.194410692588092 22 823
18 3.24332977588047 19 937
19 3.215286624203822 29 785
2 3.2663230240549828 19 582
20 3.1618743343982962 13 939
21 3.1267787839586028 16 773
22 3.3263358778625953 19 524
23 3.405604719764012 32 678
24 3.238773274917853 26 913
25 3.247598719316969 26 937
26 3.1353092783505154 16 776
3 3.007017543859649 11 285
4 3.160200250312891 16 799
5 3.1858304297328686 21 861
6 3.2597730138713747 29 793
7 3.3253968253968256 22 630
8 3.323155216284987 19 786
9 3.209797657082002 26 939
#TOTAL_CONTACTS 45992 for 10100 frames
