#resid average_duration max_duration persistent_contacts
1 3.3234152652005173 26 773
10 3.431686046511628 24 688
11 3.348396501457726 22 686
12 3.3926605504587157 14 545
13 3.4004329004329006 26 924
14 3.358325219084713 20 1027
15 3.5819209039548023 28 885
16 3.32487922705314 26 828
17 3.565028901734104 29 692
18 3.232727272727273 18 825
19 3.193302891933029 26 657
2 3.3364583333333333 29 960
20 3.332846715328467 19 685
21 3.296691568836713 19 937
22 3.3183760683760686 21 936
23 3.6786542923433876 26 862
24 3.3585972850678734 18 884
25 3.4725158562367864 26 946
26 3.3864864864864863 26 740
3 3.2472527472527473 18 546
4 3.211764705882353 16 170
5 3.3860830527497194 28 891
6 3.3558011049723757 20 905
7 3.432671081677704 22 906
8 3.4132321041214753 26 922
9 3.5022935779816513 22 872
#TOTAL_CONTACTS 47558 for 10100 frames
