#resid average_duration max_duration persistent_contacts
1 3.3701923076923075 34 832
10 3.310998735777497 34 791
11 2.9212121212121214 11 165
12 3.2535211267605635 18 284
13 3.07 13 600
14 3.274193548387097 19 744
15 3.0289017341040463 15 692
16 3.2591623036649215 34 764
17 3.3128295254833042 26 569
18 3.228172293364377 24 859
19 3.300995024875622 17 804
2 3.221216041397154 15 773
20 3.3173431734317345 15 813
21 3.4027303754266214 35 586
22 3.2573529411764706 19 680
23 3.1917040358744395 22 892
24 3.2512479201331117 24 601
25 3.032504780114723 23 523
26 3.3453355155482813 26 611
3 3.2123687281213535 24 857
4 3.247606019151847 26 731
5 2.7674418604651163 7 43
6 3.1792929292929295 17 792
7 3.3063241106719365 17 506
8 3.380818053596615 35 709
9 3.203104786545925 19 773
#TOTAL_CONTACTS 38959 for 10100 frames
