#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 2.000 2.500 2.667 2 3 4 1 2 3
10 0.000 0.000 2.000 0 0 2 0 0 1
11 0.000 0.000 2.000 0 0 2 0 0 1
12 0.000 0.000 0.000 0 0 0 0 0 0
13 3.000 2.000 0.000 3 2 0 1 1 0
14 0.000 0.000 2.000 0 0 2 0 0 1
15 0.000 0.000 2.000 0 0 2 0 0 2
16 2.000 2.000 2.000 2 2 2 1 2 2
17 0.000 2.000 2.000 0 2 2 0 2 1
18 0.000 2.000 2.000 0 2 2 0 1 1
19 0.000 2.000 0.000 0 2 0 0 1 0
2 0.000 0.000 2.000 0 0 2 0 0 3
20 2.000 2.000 2.000 2 2 2 1 1 3
21 2.000 2.000 0.000 2 2 0 1 2 0
22 0.000 2.000 0.000 0 2 0 0 1 0
23 0.000 0.000 2.000 0 0 2 0 0 1
24 0.000 0.000 2.667 0 0 4 0 0 3
25 2.000 2.000 2.000 2 2 2 2 1 2
26 2.500 0.000 2.000 3 0 2 2 0 1
3 2.000 0.000 2.000 2 0 2 1 0 1
4 0.000 2.000 0.000 0 2 0 0 1 0
5 2.000 2.000 2.000 2 2 2 1 2 2
6 0.000 2.000 2.000 0 2 2 0 1 2
7 0.000 2.667 2.000 0 3 2 0 3 1
8 0.000 0.000 2.000 0 0 2 0 0 2
9 2.000 3.000 2.000 2 3 2 1 1 1
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 990 1043 1053 601
