#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 3.932 3.681 3.217 16 11 9 73 72 69
10 3.136 3.946 4.054 10 14 13 66 93 56
11 3.912 3.643 4.000 16 11 18 68 70 59
12 3.593 3.472 3.929 14 12 10 54 72 84
13 3.977 3.660 3.500 10 14 11 87 50 68
14 4.117 3.522 4.025 20 11 15 60 67 81
15 4.176 3.842 3.825 11 19 13 51 76 57
16 3.448 3.470 3.464 15 10 9 87 66 56
17 3.333 3.885 3.984 8 14 18 54 52 62
18 3.917 3.493 3.717 16 13 11 72 73 92
19 4.140 3.952 3.593 18 16 13 57 62 91
2 4.069 3.375 3.984 11 11 16 58 64 64
20 3.827 4.231 4.198 12 16 12 52 52 86
21 4.013 3.013 3.667 13 9 10 79 75 66
22 4.298 3.807 3.763 12 12 18 84 57 59
23 4.464 3.710 3.845 16 13 12 69 69 116
24 4.081 3.577 3.607 14 13 11 86 71 89
25 4.219 3.714 3.646 16 13 15 73 63 65
26 4.382 3.473 3.955 20 7 13 55 55 66
3 4.113 3.854 3.026 14 19 9 62 41 76
4 3.676 4.267 3.506 10 13 9 74 60 89
5 3.414 3.186 3.303 11 10 13 87 70 76
6 3.556 3.362 3.905 9 9 18 45 47 74
7 3.149 3.547 3.743 16 14 16 67 64 70
8 3.627 3.855 3.784 12 13 9 67 76 51
9 4.039 3.569 3.068 18 12 10 77 65 44
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 4251 3960 4318 601
