           z         mean           se
    0.500000    14.976492     0.333464
    1.500000    14.931950     0.368384
    2.500000    14.064276     0.598659
    3.500000    12.965104     0.483799
    4.500000     9.355305     0.473868
    5.500000     5.995641     0.388399
    6.500000     2.762405     0.310833
    7.500000    -0.202429     0.252170
    8.500000    -2.717823     0.233433
    9.500000    -4.804328     0.250782
   10.500000    -6.486798     0.261811
   11.500000    -7.715049     0.273895
   12.500000    -8.458662     0.283930
   13.500000    -8.702745     0.278761
   14.500000    -8.485290     0.273833
   15.500000    -7.837366     0.273157
   16.500000    -6.784691     0.268367
   17.500000    -5.378575     0.265785
   18.500000    -3.709475     0.253354
   19.500000    -1.958785     0.242796
   20.500000    -0.363656     0.237037
   21.500000     0.626860     0.253299
   22.500000     1.028837     0.222428
   23.500000     0.849243     0.198969
   24.500000     0.465638     0.186413
   25.500000     0.228444     0.164384
   26.500000     0.072952     0.187408
   27.500000    -0.027327     0.202110
   28.500000    -0.064818     0.177653
   29.500000     0.119569     0.209207
   30.500000     0.212167     0.205657
   31.500000     0.213092     0.161900
   32.500000     0.201317     0.176722
   33.500000     0.172333     0.158841
   34.500000     0.230930     0.143720
   35.500000     0.194985     0.104739
   36.500000     0.170269     0.090131
   37.500000     0.147478     0.080855
   38.500000     0.114621     0.076825
   39.500000     0.070422     0.050478
   40.500000     0.085811     0.048089
   41.500000     0.053347     0.039752
   42.500000     0.019718     0.032013
   43.500000     0.019703     0.035915
   44.500000    -0.048460     0.044810
   45.500000    -0.033157     0.031860
   46.500000     0.008951     0.036524
   47.500000    -0.049626     0.026432
   48.500000    -0.010609     0.053874
   49.500000    -0.045678     0.089346
   50.500000    -0.065301     0.090309
   51.500000    -0.110152     0.108703
   52.500000    -0.056460     0.101940
   53.500000    -0.039369     0.114883
   54.500000    -0.002265     0.118856
   55.500000    -0.009769     0.136007
   56.500000     0.034451     0.166278
   57.500000     0.050828     0.153343
   58.500000    -0.008223     0.163904
   59.500000     0.081800     0.164275
   60.500000     0.066189     0.166717
   61.500000     0.295024     0.186093
   62.500000     0.598619     0.210405
   63.500000     0.848866     0.205319
   64.500000     1.257845     0.254726
   65.500000     1.710736     0.241781
   66.500000     2.246901     0.247135
   67.500000     3.004046     0.322224
   68.500000     3.864264     0.341011
   69.500000     5.568253     0.577873
   70.500000     7.279990     0.655155
   71.500000     8.175562     0.837552
   72.500000    10.518175     0.667563
   73.500000    14.023046     0.458861
   74.500000    14.886508     0.279035
   75.500000    15.274617     0.222081
   76.500000    15.080549     0.267721
