r,g_r,g_r_std,g_r_sem
0.05,0.0,0.0,0.0
0.15000000000000002,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.35000000000000003,0.0,0.0,0.0
0.45,0.0,0.0,0.0
0.55,0.0,0.0,0.0
0.6500000000000001,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.8500000000000001,0.0,0.0,0.0
0.95,0.0,0.0,0.0
1.05,0.0,0.0,0.0
1.1500000000000001,0.0,0.0,0.0
1.25,0.0,0.0,0.0
1.35,0.0,0.0,0.0
1.4500000000000002,0.0,0.0,0.0
1.55,0.0,0.0,0.0
1.6500000000000001,0.0,0.0,0.0
1.75,0.0,0.0,0.0
1.85,0.0,0.0,0.0
1.9500000000000002,0.0,0.0,0.0
2.05,0.0,0.0,0.0
2.1500000000000004,0.0,0.0,0.0
2.25,0.0,0.0,0.0
2.3500000000000005,0.0,0.0,0.0
2.45,0.0,0.0,0.0
2.55,0.0,0.0,0.0
2.6500000000000004,0.0,0.0,0.0
2.75,0.0,0.0,0.0
2.8500000000000005,0.0,0.0,0.0
2.95,0.0,0.0,0.0
3.05,0.0,0.0,0.0
3.1500000000000004,0.33696958483244865,3.3528050359531902,0.335280503595319
3.25,0.6331040389112373,4.4317282723786615,0.44317282723786616
3.3500000000000005,3.575225526041404,9.681756492931726,0.9681756492931726
3.45,5.05645475311905,12.799331721514411,1.279933172151441
3.55,6.632772675064416,12.085486980347508,1.2085486980347508
3.6500000000000004,8.282091445411828,14.657737547436229,1.465773754743623
3.75,8.084035127964379,13.118119989637902,1.3118119989637902
3.8500000000000005,9.24856191097985,14.995203093874187,1.4995203093874188
3.95,8.357612402787945,12.82030827745205,1.282030827745205
4.050000000000001,7.1346029381191265,11.665609005582242,1.1665609005582243
4.15,8.153891109362684,12.333637952236826,1.2333637952236827
4.25,4.812905098574355,8.53122127680221,0.853122127680221
4.35,3.7106722058660027,8.398300536376759,0.8398300536376759
4.45,5.065391802297648,8.773515961822415,0.8773515961822416
4.550000000000001,3.5531349122569433,7.429282089264521,0.7429282089264521
4.65,1.3917089304890622,4.425352352518561,0.4425352352518561
4.75,2.6674549672686756,6.066826824308678,0.6066826824308678
4.8500000000000005,3.127166564820889,7.129903494924939,0.7129903494924938
4.95,2.8656339073767745,5.883572473559748,0.5883572473559748
5.050000000000001,1.9666193738848965,5.035296680463997,0.5035296680463996
5.15,1.6388556573286692,4.239636815936385,0.4239636815936385
5.25,2.0622538591745863,4.869013445423381,0.4869013445423381
5.3500000000000005,1.752247727574446,4.171183911849924,0.4171183911849924
5.45,1.9136729902701635,5.0480638704597585,0.5048063870459758
5.550000000000001,1.1940390474961344,4.030955254110744,0.40309552541107435
5.65,1.6758490496671485,3.8398525617097605,0.38398525617097606
5.75,1.0112909506238101,3.033872851871433,0.3033872851871433
5.8500000000000005,1.1724148868726618,3.1749145223734767,0.31749145223734765
5.95,0.8500028627780454,3.0148448749044765,0.30148448749044765
6.050000000000001,1.0048326688204272,2.858198631962285,0.2858198631962285
6.15,1.149224645951474,3.225155111919288,0.3225155111919288
6.25,1.1127436587903907,3.122775788046519,0.3122775788046519
6.3500000000000005,0.9950516080600076,2.6946124928247572,0.2694612492824757
6.45,1.2859153004747206,3.1580283845256614,0.3158028384525661
6.550000000000001,1.6366224535982612,3.5363674437672827,0.35363674437672826
6.65,0.8316894739216393,2.3657010667963037,0.23657010667963035
6.75,1.0273828230891549,2.749715860191712,0.2749715860191712
6.8500000000000005,1.9239528807821247,3.4697360984057912,0.3469736098405791
6.95,1.384433810051228,3.529627506364408,0.3529627506364408
7.050000000000001,1.68179704516874,3.965618947192102,0.3965618947192102
7.15,1.5042761255122377,3.316276742350747,0.33162767423507467
7.25,1.9719572294030756,3.0764574172586676,0.3076457417258668
7.3500000000000005,2.3519101635244377,3.477007516438081,0.3477007516438081
7.45,1.7470175300121469,3.3318773288055454,0.33318773288055453
7.550000000000001,1.7597021387658291,3.158762009573688,0.3158762009573688
7.65,1.7139975422273344,2.856662570378893,0.2856662570378893
7.75,1.6143823593673123,2.6458579296497704,0.26458579296497703
7.8500000000000005,1.7905499335713266,2.9773361784506447,0.29773361784506447
7.95,1.798690621209589,2.821255047866997,0.2821255047866997
8.05,1.8058766975425182,2.7665528701138107,0.2766552870113811
8.15,2.617579836440943,3.99419213918281,0.399419213918281
8.25,2.1123815660091654,3.4913436453550357,0.34913436453550356
8.350000000000001,1.630488636910596,2.973243984954618,0.2973243984954618
8.45,1.9667433161443768,3.1188476534238077,0.31188476534238074
8.55,1.9210066636708572,3.433721542688793,0.3433721542688793
8.65,1.7874733966386969,2.896037897229434,0.2896037897229434
8.75,1.703179069577129,2.538573839597121,0.25385738395971214
8.850000000000001,1.7502864301509633,2.4961737938501085,0.24961737938501086
8.95,1.54442727884272,2.682831131743252,0.2682831131743252
9.05,1.7962522638747138,2.961915008059701,0.2961915008059701
9.15,1.5175856765982734,2.2435622270808455,0.22435622270808456
9.25,1.1332516050781498,2.08946654832608,0.208946654832608
9.350000000000001,1.7975726289970961,2.5630679276029973,0.2563067927602997
9.45,1.8720532490691597,3.0646832502722137,0.3064683250272214
9.55,1.283137246155522,2.0329543530316374,0.20329543530316374
9.650000000000002,1.5080178220193696,2.16505593510404,0.21650559351040402
9.75,1.5827600972780935,2.1322162591942466,0.21322162591942467
9.850000000000001,1.1372430444639032,1.8271313622568024,0.18271313622568025
9.95,1.1482714475593958,1.9819706562604644,0.19819706562604644
10.05,1.5227812425731908,2.115546392796877,0.2115546392796877
10.150000000000002,1.2657394987939419,2.14766825848835,0.21476682584883502
10.25,1.2729873001308638,1.961805184632091,0.1961805184632091
10.350000000000001,1.1860819791266903,1.9129072036399886,0.19129072036399886
10.45,1.3778176483825808,2.0482159762746863,0.20482159762746863
10.55,1.0213763750769216,1.6574071773256027,0.16574071773256027
10.650000000000002,0.9433276693424943,1.7128282366028,0.17128282366028
10.75,1.0126582991238424,1.6044176907073484,0.16044176907073485
10.850000000000001,1.2781000382042407,1.6253915072655027,0.16253915072655029
10.95,1.282748169996445,1.5980308028121617,0.15980308028121618
11.05,0.8762685659671104,1.5910670188250144,0.15910670188250145
11.150000000000002,1.1026709479418353,1.6620225229397778,0.16620225229397778
11.25,1.0303182025836952,1.6240343526469134,0.16240343526469134
11.350000000000001,1.1679724562673346,1.81220530486972,0.181220530486972
11.45,1.3261852114643014,1.7476919312597634,0.17476919312597633
11.55,1.1780011106126098,1.7528577509516967,0.17528577509516968
11.650000000000002,1.3549480653723474,1.8228545702737646,0.18228545702737647
11.75,0.7749720784137555,1.275985702449056,0.1275985702449056
11.850000000000001,1.071488769588198,1.696262781080471,0.1696262781080471
11.95,1.2877711440801,1.7946507109420509,0.1794650710942051
12.05,1.3816211313854674,1.898856619762552,0.1898856619762552
12.150000000000002,1.3816215213500531,1.7804031424931543,0.17804031424931543
12.25,1.1809064715801652,1.5582547679888972,0.15582547679888972
12.350000000000001,1.0522504801848818,1.5022490545197147,0.15022490545197148
12.45,1.229555008554691,1.5926164550178583,0.15926164550178584
12.55,1.2100385721718603,1.651345454174553,0.1651345454174553
12.650000000000002,1.2118775854582844,1.4226644293272666,0.14226644293272667
12.75,1.3574860534440485,1.4315071057276414,0.14315071057276413
12.850000000000001,1.0327036956229378,1.6818940243694829,0.1681894024369483
12.95,1.1364416166336127,1.4720086586002306,0.14720086586002307
13.05,1.2565239215630903,1.677919685802162,0.16779196858021622
13.150000000000002,1.0828002111234707,1.4292745153714284,0.14292745153714284
13.25,1.333147166308284,1.8562730373388099,0.18562730373388098
13.350000000000001,1.1444033331116905,1.5672774253811081,0.1567277425381108
13.45,1.1828977772667502,1.4905876136160017,0.14905876136160018
13.55,1.3111902659059544,1.4586980340548925,0.14586980340548925
13.650000000000002,1.184378304085648,1.3951109116666998,0.13951109116667
13.75,1.255638902958006,1.3303816960824015,0.13303816960824016
13.850000000000001,1.2375723916146333,1.4644813810437944,0.14644813810437946
13.95,1.2714377883480323,1.7792697608081014,0.17792697608081015
14.05,1.1009624794898654,1.3838365497427756,0.13838365497427757
14.150000000000002,1.2524494145887592,1.404630688856373,0.1404630688856373
14.25,1.3666590264401242,1.614233553632556,0.1614233553632556
14.350000000000001,1.0229362233194441,1.271374997147089,0.1271374997147089
14.45,1.0888925562385419,1.1957420408449786,0.11957420408449786
14.55,1.0108013138814997,1.2539895750055092,0.1253989575005509
14.650000000000002,0.7945234818367065,1.0214574577562945,0.10214574577562945
14.75,0.9067337506440601,1.1102516268611273,0.11102516268611273
14.850000000000001,0.9552113024589245,1.262283346503247,0.1262283346503247
14.95,0.9424752942204149,1.071594392716421,0.1071594392716421
15.05,0.9299923155218959,1.0778123406154387,0.10778123406154387
