#frame monomer_traj1 monomer_traj2 monomer_traj3 monomer_moy standard_error popc_alone_traj1 popc_alone_traj2 popc_alone_traj3 popc_alone_moy standard_error
74 50.000 50.000 69.231 56.410 6.410 0.000 0.000 1.562 0.521 0.521
75 46.154 61.538 73.077 60.256 7.798 0.000 0.000 0.000 0.000 0.000
76 38.462 50.000 30.769 39.744 5.588 0.000 0.000 0.000 0.000 0.000
77 53.846 50.000 57.692 53.846 2.221 0.000 0.000 0.000 0.000 0.000
78 46.154 42.308 65.385 51.282 7.138 0.000 0.000 0.000 0.000 0.000
79 57.692 53.846 65.385 58.974 3.392 0.000 0.000 0.000 0.000 0.000
80 46.154 65.385 73.077 61.538 8.006 0.000 0.000 3.125 1.042 1.042
81 50.000 57.692 69.231 58.974 5.588 0.000 0.000 1.562 0.521 0.521
82 53.846 53.846 69.231 58.974 5.128 0.000 0.000 1.562 0.521 0.521
83 42.308 69.231 76.923 62.821 10.494 0.000 0.000 3.125 1.042 1.042
84 73.077 69.231 69.231 70.513 1.282 0.000 0.000 0.000 0.000 0.000
85 80.769 57.692 69.231 69.231 6.662 0.000 0.000 1.562 0.521 0.521
86 46.154 57.692 69.231 57.692 6.662 0.000 0.000 0.000 0.000 0.000
87 46.154 50.000 42.308 46.154 2.221 0.000 0.000 1.562 0.521 0.521
88 57.692 69.231 57.692 61.538 3.846 0.000 0.000 3.125 1.042 1.042
89 42.308 73.077 73.077 62.821 10.256 0.000 0.000 1.562 0.521 0.521
90 57.692 50.000 46.154 51.282 3.392 0.000 0.000 1.562 0.521 0.521
91 53.846 65.385 42.308 53.846 6.662 0.000 0.000 3.125 1.042 1.042
92 46.154 61.538 69.231 58.974 6.784 0.000 0.000 1.562 0.521 0.521
93 38.462 61.538 84.615 61.538 13.323 0.000 0.000 0.000 0.000 0.000
94 53.846 46.154 76.923 58.974 9.245 0.000 0.000 0.000 0.000 0.000
95 46.154 65.385 61.538 57.692 5.875 0.000 0.000 0.000 0.000 0.000
96 38.462 57.692 65.385 53.846 8.006 0.000 0.000 0.000 0.000 0.000
97 46.154 61.538 46.154 51.282 5.128 0.000 0.000 1.562 0.521 0.521
98 53.846 57.692 53.846 55.128 1.282 0.000 0.000 1.562 0.521 0.521
99 46.154 53.846 69.231 56.410 6.784 0.000 0.000 0.000 0.000 0.000
100 65.385 76.923 57.692 66.667 5.588 0.000 0.000 0.000 0.000 0.000
101 53.846 57.692 53.846 55.128 1.282 0.000 0.000 0.000 0.000 0.000
102 50.000 53.846 61.538 55.128 3.392 0.000 0.000 0.000 0.000 0.000
103 50.000 50.000 53.846 51.282 1.282 0.000 0.000 0.000 0.000 0.000
104 50.000 46.154 69.231 55.128 7.138 0.000 0.000 0.000 0.000 0.000
105 57.692 61.538 57.692 58.974 1.282 0.000 0.000 0.000 0.000 0.000
106 65.385 42.308 57.692 55.128 6.784 0.000 0.000 0.000 0.000 0.000
107 38.462 38.462 57.692 44.872 6.410 0.000 0.000 0.000 0.000 0.000
108 46.154 53.846 69.231 56.410 6.784 0.000 0.000 0.000 0.000 0.000
109 53.846 57.692 73.077 61.538 5.875 0.000 0.000 0.000 0.000 0.000
110 69.231 38.462 65.385 57.692 9.679 0.000 0.000 0.000 0.000 0.000
111 69.231 42.308 76.923 62.821 10.494 0.000 0.000 3.125 1.042 1.042
112 61.538 46.154 80.769 62.821 10.013 0.000 0.000 3.125 1.042 1.042
113 50.000 42.308 76.923 56.410 10.494 0.000 0.000 0.000 0.000 0.000
114 57.692 46.154 65.385 56.410 5.588 0.000 0.000 1.562 0.521 0.521
115 53.846 57.692 88.462 66.667 10.954 0.000 0.000 1.562 0.521 0.521
116 46.154 42.308 61.538 50.000 5.875 0.000 1.562 1.562 1.042 0.521
117 38.462 61.538 65.385 55.128 8.407 0.000 0.000 0.000 0.000 0.000
118 50.000 50.000 76.923 58.974 8.974 0.000 0.000 1.562 0.521 0.521
119 61.538 57.692 65.385 61.538 2.221 0.000 0.000 1.562 0.521 0.521
120 46.154 53.846 76.923 58.974 9.245 0.000 0.000 0.000 0.000 0.000
121 50.000 61.538 61.538 57.692 3.846 0.000 0.000 0.000 0.000 0.000
122 50.000 53.846 65.385 56.410 4.623 0.000 0.000 0.000 0.000 0.000
123 69.231 42.308 92.308 67.949 14.448 0.000 0.000 0.000 0.000 0.000
124 50.000 50.000 61.538 53.846 3.846 0.000 0.000 0.000 0.000 0.000
