#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 3.615 3.793 3.635 9 13 14 78 92 74
10 3.253 3.508 3.206 9 14 11 75 65 63
11 3.722 3.571 3.517 14 15 14 90 84 87
12 3.453 3.755 3.429 11 15 9 86 94 84
13 4.364 3.250 3.548 14 13 12 55 108 93
14 3.330 3.892 3.867 9 11 11 88 65 75
15 3.500 3.171 3.507 15 9 10 82 76 75
16 3.837 3.457 3.603 26 12 10 98 81 78
17 3.682 3.380 3.574 14 9 14 88 100 68
18 3.896 3.754 3.481 11 12 12 77 57 79
19 3.805 3.820 3.855 22 15 12 77 100 76
2 3.742 3.667 3.653 10 9 14 89 78 98
20 3.471 3.452 3.580 11 12 12 104 84 88
21 3.838 3.042 3.787 22 11 10 74 71 47
22 3.600 3.719 3.211 12 15 10 65 57 76
23 3.203 3.685 3.160 11 22 10 69 108 94
24 3.383 3.359 3.403 9 12 19 81 64 67
25 3.398 3.652 3.458 15 13 14 88 92 72
26 3.299 3.689 3.207 14 10 10 77 90 58
3 4.266 3.947 3.727 13 13 19 79 114 88
4 3.283 4.129 3.342 12 13 12 99 62 76
5 3.347 3.607 3.407 14 22 10 75 89 91
6 3.622 3.726 3.418 10 12 9 82 95 67
7 3.521 3.510 3.683 12 9 14 94 102 82
8 3.759 3.978 3.562 10 15 14 87 90 73
9 3.985 3.534 3.873 26 10 12 65 58 79
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 4805 5008 4571 601
