#resid average_duration max_duration persistent_contacts
1 5.04147465437788 28 434
10 4.988207547169812 55 424
11 4.47165991902834 20 494
12 4.177156177156177 20 429
13 4.716049382716049 26 486
14 4.535087719298246 20 456
15 4.718446601941747 56 412
16 4.47682119205298 24 453
17 4.766423357664234 119 411
18 4.413361169102297 26 479
19 4.158316633266533 19 499
2 4.732793522267206 36 494
20 4.701754385964913 25 342
21 4.622093023255814 24 344
22 4.489841986455982 21 443
23 4.4825327510917035 21 458
24 4.512345679012346 28 486
25 4.68649885583524 55 437
26 4.717592592592593 56 432
3 4.657777777777778 20 450
4 4.230392156862745 17 408
5 4.56989247311828 26 465
6 5.366568914956011 149 341
7 4.514044943820225 26 356
8 5.16887417218543 149 302
9 4.5605700712589075 17 421
#TOTAL_CONTACTS 30652 for 10100 frames
