#resid average_duration max_duration persistent_contacts
1 4.215686274509804 23 357
10 4.582089552238806 77 335
11 4.516320474777448 25 337
12 5.228476821192053 77 302
13 4.385167464114833 25 418
14 4.208588957055214 20 489
15 4.304147465437788 22 434
16 4.422121896162528 21 443
17 4.794736842105263 21 380
18 4.540051679586563 19 387
19 4.210280373831775 23 428
2 4.363157894736842 49 380
20 4.458762886597938 19 388
21 4.4873096446700504 29 394
22 4.128065395095367 23 367
23 4.253488372093023 29 430
24 4.392694063926941 21 438
25 4.3428571428571425 22 420
26 4.5334987593052105 30 403
3 4.473544973544974 20 378
4 4.43026706231454 20 337
5 3.968674698795181 22 415
6 4.315545243619489 19 431
7 4.891414141414141 69 396
8 4.141732283464567 17 381
9 4.420103092783505 20 388
#TOTAL_CONTACTS 27346 for 10100 frames
