#resid average_duration max_duration persistent_contacts
1 4.12 13 25
10 3.6792452830188678 12 53
11 3.703125 13 64
12 3.4375 11 48
13 3.3260869565217392 10 46
14 3.5714285714285716 11 77
15 3.1320754716981134 13 53
16 3.514705882352941 14 68
17 3.5416666666666665 10 72
18 4.083333333333333 16 72
19 3.4126984126984126 9 63
2 3.240740740740741 13 54
20 3.6666666666666665 18 69
21 3.5454545454545454 15 66
22 3.5319148936170213 12 47
23 3.3518518518518516 10 54
24 3.259259259259259 9 54
25 3.4 8 45
26 3.575 14 40
3 3.7205882352941178 20 68
4 3.2586206896551726 10 58
5 5.0 13 33
6 4.434782608695652 20 46
7 3.943396226415094 15 53
8 3.5 18 62
9 3.6458333333333335 11 48
#TOTAL_CONTACTS 3422 for 1000 frames
