#resid average_duration max_duration persistent_contacts
1 3.0 12 23
10 3.5476190476190474 21 42
11 3.2222222222222223 9 27
12 3.125 10 32
13 4.0 14 37
14 3.6129032258064515 11 31
15 3.3870967741935485 13 31
16 2.857142857142857 10 28
17 3.3488372093023258 14 43
18 3.40625 8 32
19 3.2 8 25
2 4.194444444444445 9 36
20 3.5625 9 32
21 3.5675675675675675 9 37
22 2.914285714285714 5 35
23 4.105263157894737 14 38
24 3.6206896551724137 11 29
25 4.0 21 20
26 3.9166666666666665 9 24
3 3.9285714285714284 12 28
4 3.696969696969697 11 33
5 4.1875 15 32
6 4.235294117647059 15 17
7 3.5357142857142856 11 28
8 2.710526315789474 5 38
9 3.0833333333333335 9 36
#TOTAL_CONTACTS 1924 for 1000 frames
