#resid average_duration max_duration persistent_contacts
1 3.6551724137931036 15 29
10 3.1875 11 32
11 3.4193548387096775 8 31
12 3.2162162162162162 6 37
13 3.242424242424242 7 33
14 3.32 6 25
15 3.5217391304347827 10 23
16 3.6129032258064515 12 31
17 3.264705882352941 10 34
18 3.533333333333333 12 30
19 3.6842105263157894 12 19
2 3.727272727272727 8 33
20 3.3846153846153846 10 39
21 4.024390243902439 13 41
22 3.606060606060606 11 33
23 3.675 11 40
24 4.24 8 25
25 4.470588235294118 12 34
26 3.7241379310344827 15 29
3 4.714285714285714 17 28
4 3.8846153846153846 15 26
5 4.538461538461538 17 26
6 3.526315789473684 10 38
7 3.138888888888889 8 36
8 3.59375 11 32
9 3.5714285714285716 15 28
#TOTAL_CONTACTS 2014 for 1000 frames
