#resid average_duration max_duration persistent_contacts
1 4.0 15 29
10 4.84375 34 64
11 10.363636363636363 38 11
12 8.356164383561644 144 73
13 18.083333333333332 476 84
14 8.443548387096774 191 124
15 17.28846153846154 296 52
16 4.7924528301886795 29 53
17 17.04 472 75
18 17.964285714285715 415 56
19 17.17948717948718 358 78
2 6.044943820224719 75 89
20 13.223300970873787 295 103
21 27.444444444444443 476 54
22 9.928571428571429 128 70
23 10.714285714285714 38 7
24 7.797979797979798 51 99
25 3.0 3 1
26 2.857142857142857 6 7
3 14.17283950617284 415 81
4 20.972972972972972 358 74
5 13.824324324324325 188 74
6 28.1 212 30
7 8.186046511627907 100 43
8 18.375 296 80
9 24.857142857142858 212 35
#TOTAL_CONTACTS 11152 for 1000 frames
