#resid average_duration max_duration persistent_contacts
1 2.888888888888889 5 9
10 10.873015873015873 267 126
11 4.666666666666667 7 3
12 14.838235294117647 287 136
13 11.790123456790123 213 81
14 13.121621621621621 256 74
15 6.583333333333333 26 12
16 18.666666666666668 372 33
17 18.15068493150685 644 73
18 15.0 372 45
19 13.142857142857142 186 63
2 9.15 115 40
20 16.989690721649485 287 97
21 10.261538461538462 160 65
22 11.686274509803921 100 51
23 16.155844155844157 274 77
24 10.923076923076923 267 39
25 57.875 306 16
26 11.434782608695652 115 23
3 9.689655172413794 213 58
4 9.620967741935484 144 124
5 8.892857142857142 79 28
6 17.650793650793652 644 63
7 70.76923076923077 306 13
8 6.852941176470588 79 34
9 4.571428571428571 10 7
#TOTAL_CONTACTS 10352 for 1000 frames
