#resid average_duration max_duration persistent_contacts
1 2.6 3 5
10 2.2 3 5
11 2.0 2 2
12 3.1666666666666665 6 6
13 2.0 2 8
14 2.125 3 8
15 2.5714285714285716 4 7
16 2.2 3 5
17 3.0 6 4
18 2.0 2 3
19 2.4444444444444446 4 9
2 2.1666666666666665 4 12
20 2.2 3 10
21 2.3333333333333335 3 3
22 2.5 4 4
23 2.4 4 5
24 2.3076923076923075 5 13
25 2.3333333333333335 5 12
26 2.2 3 5
3 2.4285714285714284 4 7
4 2.0 2 8
5 2.5 3 4
6 2.0 2 4
7 2.3333333333333335 3 6
8 2.7142857142857144 4 7
9 2.5 4 6
#TOTAL_CONTACTS 433 for 100 frames
