#resid average_duration max_duration persistent_contacts
1 2.8 3 5
10 2.4285714285714284 3 7
11 2.8 4 5
12 2.7142857142857144 5 7
13 2.3333333333333335 3 6
14 2.6 4 5
15 3.0 4 3
16 2.0 2 6
17 2.8333333333333335 4 6
18 3.5 4 4
19 2.0 2 3
2 2.111111111111111 3 9
20 2.0 2 2
21 2.142857142857143 3 7
22 2.5 4 4
23 3.8 9 5
24 2.0 2 4
25 2.3333333333333335 3 3
26 2.8333333333333335 4 6
3 2.857142857142857 5 7
4 3.6666666666666665 9 9
5 2.0 2 1
6 2.8333333333333335 4 6
7 2.6666666666666665 3 6
8 2.25 3 4
9 2.1666666666666665 3 6
#TOTAL_CONTACTS 400 for 100 frames
