#resid average_duration max_duration persistent_contacts
1 2.0 2 3
10 2.7142857142857144 6 7
11 2.2 3 5
12 2.75 5 4
13 2.0 2 1
14 2.75 5 4
15 2.0 2 2
16 2.1666666666666665 3 6
17 2.25 3 4
18 3.25 7 4
19 2.0 2 1
2 2.3636363636363638 4 11
20 2.7777777777777777 4 9
21 2.25 3 8
22 2.272727272727273 3 11
23 2.8 4 5
24 2.4444444444444446 4 9
25 2.6363636363636362 6 11
26 3.0 7 6
3 2.142857142857143 3 7
4 2.0 2 3
5 2.3333333333333335 3 9
6 2.0 2 3
7 2.25 3 4
8 2.0 2 6
9 2.3333333333333335 3 3
#TOTAL_CONTACTS 372 for 100 frames
