#resid average_duration max_duration persistent_contacts
1 2.2 3 5
10 2.2857142857142856 4 7
11 3.125 5 8
12 2.6 5 5
13 2.25 3 4
14 2.0 2 2
15 2.2857142857142856 3 7
16 2.142857142857143 3 7
17 3.0 5 4
18 2.4444444444444446 5 9
19 2.0 2 8
2 2.5 3 2
20 2.142857142857143 3 7
21 2.0 2 4
22 2.1666666666666665 3 6
23 2.25 3 4
24 2.4285714285714284 5 7
25 2.2 3 5
26 2.7142857142857144 5 7
3 2.125 3 8
4 2.4285714285714284 4 7
5 2.5 5 6
6 2.875 4 8
7 3.5 5 4
8 2.1666666666666665 3 6
9 2.6 4 5
#TOTAL_CONTACTS 394 for 100 frames
