#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 2.978 2.556 2.667 7 4 6 45 36 21
10 2.500 2.872 2.500 4 9 5 26 39 34
11 2.967 2.838 2.556 7 10 5 30 37 36
12 2.613 3.100 2.679 5 8 7 31 30 56
13 2.500 2.778 2.561 5 6 5 24 36 41
14 2.689 2.562 2.667 5 7 6 45 16 15
15 2.729 2.762 2.577 7 6 6 59 42 26
16 2.955 2.393 2.568 5 4 5 22 28 37
17 2.719 2.633 2.542 5 5 4 32 30 48
18 2.854 2.897 2.400 6 7 4 41 29 20
19 2.789 2.636 2.471 7 7 6 38 55 51
2 2.742 3.360 2.905 6 11 6 31 25 42
20 2.535 2.806 2.444 5 7 4 43 62 18
21 2.750 2.812 2.529 6 8 6 28 16 34
22 2.688 2.885 2.647 6 5 6 32 26 34
23 2.848 3.000 2.741 6 10 6 33 31 27
24 2.643 2.700 2.564 5 8 6 28 40 39
25 2.235 2.933 2.774 4 9 7 17 45 31
26 2.645 2.630 2.500 6 6 5 31 27 30
3 2.592 3.226 2.381 5 11 4 49 31 21
4 2.524 2.524 2.667 5 6 6 21 42 39
5 2.829 2.450 3.048 7 6 6 35 20 21
6 2.451 2.378 2.625 5 5 5 51 45 48
7 2.719 2.632 2.667 7 7 7 32 38 27
8 2.880 2.842 2.525 5 6 7 25 38 40
9 2.622 2.812 2.583 7 7 5 45 32 24
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 2318 2345 2213 601
