#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 2.000 2.500 2.000 2 3 2 1 2 1
10 2.000 2.750 3.000 2 4 3 1 4 1
11 2.000 2.500 3.000 2 4 3 3 4 1
12 2.000 2.500 3.000 2 3 3 3 2 1
13 2.000 2.000 0.000 2 2 0 1 4 0
14 2.667 2.000 2.000 4 2 2 3 2 1
15 2.000 3.500 2.000 2 5 2 1 2 3
16 3.000 2.000 2.000 3 2 2 1 3 1
17 2.000 2.000 3.000 2 2 3 4 3 1
18 2.667 2.000 3.333 4 2 5 6 3 3
19 2.000 2.167 0.000 2 3 0 2 6 0
2 2.000 2.000 2.000 2 2 2 1 2 5
20 2.000 3.333 0.000 2 5 0 1 3 0
21 2.000 3.000 0.000 2 3 0 1 1 0
22 2.333 2.000 2.000 3 2 2 3 3 2
23 2.000 2.667 3.250 2 4 5 2 3 4
24 4.000 2.000 2.250 4 2 3 1 1 4
25 2.000 2.667 3.000 2 4 4 1 3 2
26 2.000 0.000 0.000 2 0 0 1 0 0
3 2.000 2.000 0.000 2 2 0 2 2 0
4 0.000 2.500 2.000 0 4 2 0 6 4
5 3.000 2.000 0.000 4 2 0 2 2 0
6 4.000 2.750 2.000 4 4 2 1 4 1
7 2.333 0.000 2.000 3 0 2 3 0 1
8 2.000 2.000 2.000 2 2 2 2 1 2
9 2.333 2.000 2.000 3 2 2 3 4 2
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 981 984 949 601
