#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 0.000 0.000 2.000 0 0 2 0 0 1
10 0.000 0.000 2.000 0 0 2 0 0 1
11 0.000 0.000 0.000 0 0 0 0 0 0
12 0.000 0.000 0.000 0 0 0 0 0 0
13 2.000 2.000 2.000 2 2 2 1 1 1
14 0.000 2.000 0.000 0 2 0 0 1 0
15 0.000 0.000 0.000 0 0 0 0 0 0
16 0.000 0.000 0.000 0 0 0 0 0 0
17 2.000 0.000 2.000 2 0 2 2 0 1
18 0.000 2.000 0.000 0 2 0 0 1 0
19 0.000 0.000 0.000 0 0 0 0 0 0
2 0.000 0.000 2.000 0 0 2 0 0 1
20 2.000 0.000 0.000 2 0 0 1 0 0
21 0.000 0.000 0.000 0 0 0 0 0 0
22 0.000 0.000 0.000 0 0 0 0 0 0
23 0.000 0.000 0.000 0 0 0 0 0 0
24 0.000 0.000 0.000 0 0 0 0 0 0
25 2.000 0.000 0.000 2 0 0 3 0 0
26 0.000 0.000 2.000 0 0 2 0 0 1
3 2.000 0.000 0.000 2 0 0 2 0 0
4 0.000 2.000 0.000 0 2 0 0 1 0
5 0.000 0.000 0.000 0 0 0 0 0 0
6 2.000 0.000 2.000 2 0 2 1 0 1
7 0.000 0.000 0.000 0 0 0 0 0 0
8 2.000 0.000 0.000 2 0 0 1 0 0
9 2.000 0.000 2.000 2 0 2 1 0 1
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 569 581 581 601
