#resid average_duration max_duration persistent_contacts
1 5.806451612903226 16 31
10 10.716981132075471 216 53
11 4.142857142857143 7 7
12 5.5588235294117645 14 34
13 4.964285714285714 13 28
14 8.840909090909092 110 44
15 4.571428571428571 21 28
16 10.823529411764707 99 17
17 10.5 82 36
18 5.0588235294117645 13 34
19 15.72972972972973 239 37
2 17.43103448275862 239 58
20 5.0344827586206895 18 29
21 10.5 82 36
22 11.75925925925926 216 54
23 9.25 110 44
24 7.0 47 29
25 4.483870967741935 18 31
26 4.642857142857143 18 28
3 0 0 0
4 6.454545454545454 47 44
5 4.333333333333333 14 36
6 7.685185185185185 51 54
7 8.866666666666667 153 45
8 5.12 25 25
9 5.821428571428571 51 28
#TOTAL_CONTACTS 4187 for 1000 frames
