#resid average_duration max_duration persistent_contacts
1 4.964912280701754 29 57
10 4.821917808219178 27 73
11 9.564516129032258 97 62
12 7.222222222222222 38 45
13 5.488888888888889 40 45
14 7.03125 23 32
15 7.777777777777778 97 81
16 4.3076923076923075 8 13
17 4.7105263157894735 33 38
18 6.2073170731707314 33 82
19 5.507692307692308 22 65
2 10.90566037735849 77 53
20 6.333333333333333 77 69
21 6.069767441860465 45 43
22 5.918918918918919 41 37
23 7.741935483870968 45 62
24 7.633802816901408 68 71
25 4.125 10 8
26 5.881578947368421 59 76
3 4.771428571428571 25 35
4 6.706896551724138 33 58
5 3.4285714285714284 4 7
6 5.783333333333333 21 60
7 6.6923076923076925 40 26
8 10.172413793103448 41 29
9 6.235294117647059 40 51
#TOTAL_CONTACTS 4947 for 1000 frames
