#resid average_duration max_duration persistent_contacts
1 4.629388816644994 29 769
10 5.013493253373313 44 667
11 5.2976 47 625
12 5.354330708661418 57 635
13 5.198529411764706 33 544
14 5.113387978142076 57 732
15 4.85551948051948 30 616
16 5.354700854700854 55 702
17 4.917910447761194 50 670
18 6.23125 54 480
19 5.080074487895717 54 537
2 5.29981718464351 43 547
20 4.942028985507246 54 690
21 4.843003412969283 43 586
22 5.074829931972789 50 588
23 5.124770642201835 37 545
24 5.574757281553398 38 515
25 5.090909090909091 36 704
26 5.257716049382716 42 648
3 5.028241335044929 44 779
4 5.842553191489362 55 705
5 5.050974512743628 33 667
6 4.7766272189349115 38 676
7 4.887608069164265 44 694
8 5.049780380673499 41 683
9 4.78695652173913 35 690
#TOTAL_CONTACTS 49085 for 5000 frames
