#resid average_duration max_duration persistent_contacts
1 4.74802110817942 33 758
10 5.186582809224318 39 477
11 4.890156918687589 55 701
12 4.467783505154639 34 776
13 5.211148648648648 36 592
14 5.083532219570405 40 838
15 4.617687074829932 46 735
16 5.133704735376044 64 718
17 4.936046511627907 26 516
18 5.03169014084507 49 568
19 5.227045075125209 39 599
2 5.0322147651006714 34 745
20 4.940111420612813 40 718
21 5.1792592592592595 46 675
22 5.188449848024316 46 658
23 4.755974842767295 40 795
24 5.177159590043924 64 683
25 4.78207381370826 33 569
26 4.749211356466877 37 634
3 4.81219512195122 49 820
4 5.334453781512605 39 595
5 5.039619651347068 40 631
6 4.935201401050788 46 571
7 5.116465863453815 37 747
8 4.661347517730497 30 564
9 5.276729559748428 37 795
#TOTAL_CONTACTS 50251 for 5000 frames
