#frame monomers_%
0 65.38461538461539
1 65.38461538461539
2 46.15384615384615
3 50.0
4 69.23076923076923
5 46.15384615384615
6 46.15384615384615
7 57.69230769230769
8 61.53846153846154
9 53.84615384615385
10 61.53846153846154
11 57.69230769230769
12 57.69230769230769
13 50.0
14 53.84615384615385
15 57.69230769230769
16 46.15384615384615
17 46.15384615384615
18 53.84615384615385
19 42.30769230769231
20 50.0
21 46.15384615384615
22 53.84615384615385
23 57.69230769230769
24 42.30769230769231
25 50.0
26 61.53846153846154
27 61.53846153846154
28 57.69230769230769
29 57.69230769230769
30 53.84615384615385
31 57.69230769230769
32 57.69230769230769
33 53.84615384615385
34 50.0
35 61.53846153846154
36 34.61538461538461
37 34.61538461538461
38 34.61538461538461
39 42.30769230769231
40 53.84615384615385
41 50.0
42 57.69230769230769
43 65.38461538461539
44 42.30769230769231
45 50.0
46 38.46153846153846
47 46.15384615384615
48 34.61538461538461
49 42.30769230769231
50 30.76923076923077
51 23.076923076923077
52 46.15384615384615
53 42.30769230769231
54 50.0
55 46.15384615384615
56 50.0
57 50.0
58 34.61538461538461
59 42.30769230769231
60 50.0
61 65.38461538461539
62 46.15384615384615
63 50.0
64 42.30769230769231
65 38.46153846153846
66 42.30769230769231
67 42.30769230769231
68 34.61538461538461
69 46.15384615384615
70 34.61538461538461
71 42.30769230769231
72 46.15384615384615
73 38.46153846153846
74 42.30769230769231
75 34.61538461538461
76 46.15384615384615
77 46.15384615384615
78 38.46153846153846
79 46.15384615384615
80 61.53846153846154
81 50.0
82 50.0
83 50.0
84 57.69230769230769
85 61.53846153846154
86 57.69230769230769
87 50.0
88 53.84615384615385
89 61.53846153846154
90 57.69230769230769
91 57.69230769230769
92 50.0
93 38.46153846153846
94 34.61538461538461
95 46.15384615384615
96 61.53846153846154
97 46.15384615384615
98 61.53846153846154
99 50.0
