#frame monomers_%
0 50.0
1 46.15384615384615
2 50.0
3 46.15384615384615
4 42.30769230769231
5 42.30769230769231
6 38.46153846153846
7 53.84615384615385
8 61.53846153846154
9 57.69230769230769
10 50.0
11 34.61538461538461
12 61.53846153846154
13 50.0
14 50.0
15 46.15384615384615
16 50.0
17 46.15384615384615
18 42.30769230769231
19 42.30769230769231
20 53.84615384615385
21 38.46153846153846
22 46.15384615384615
23 34.61538461538461
24 38.46153846153846
25 46.15384615384615
26 42.30769230769231
27 34.61538461538461
28 46.15384615384615
29 53.84615384615385
30 53.84615384615385
31 42.30769230769231
32 46.15384615384615
33 50.0
34 34.61538461538461
35 46.15384615384615
36 30.76923076923077
37 26.923076923076923
38 26.923076923076923
39 38.46153846153846
40 46.15384615384615
41 50.0
42 46.15384615384615
43 34.61538461538461
44 46.15384615384615
45 53.84615384615385
46 53.84615384615385
47 42.30769230769231
48 34.61538461538461
49 50.0
50 57.69230769230769
51 46.15384615384615
52 38.46153846153846
53 38.46153846153846
54 46.15384615384615
55 53.84615384615385
56 38.46153846153846
57 42.30769230769231
58 46.15384615384615
59 38.46153846153846
60 38.46153846153846
61 61.53846153846154
62 53.84615384615385
63 65.38461538461539
64 65.38461538461539
65 57.69230769230769
66 38.46153846153846
67 61.53846153846154
68 57.69230769230769
69 73.07692307692308
70 50.0
71 46.15384615384615
72 42.30769230769231
73 38.46153846153846
74 46.15384615384615
75 57.69230769230769
76 76.92307692307692
77 69.23076923076923
78 69.23076923076923
79 65.38461538461539
80 76.92307692307692
81 73.07692307692308
82 69.23076923076923
83 65.38461538461539
84 65.38461538461539
85 46.15384615384615
86 42.30769230769231
87 57.69230769230769
88 57.69230769230769
89 65.38461538461539
90 69.23076923076923
91 76.92307692307692
92 76.92307692307692
93 76.92307692307692
94 69.23076923076923
95 73.07692307692308
96 80.76923076923077
97 69.23076923076923
98 61.53846153846154
99 73.07692307692308
