#frame monomers_%
0 46.15384615384615
1 57.69230769230769
2 61.53846153846154
3 50.0
4 57.69230769230769
5 57.69230769230769
6 61.53846153846154
7 53.84615384615385
8 61.53846153846154
9 61.53846153846154
10 65.38461538461539
11 61.53846153846154
12 57.69230769230769
13 57.69230769230769
14 73.07692307692308
15 61.53846153846154
16 69.23076923076923
17 65.38461538461539
18 57.69230769230769
19 53.84615384615385
20 73.07692307692308
21 65.38461538461539
22 53.84615384615385
23 53.84615384615385
24 65.38461538461539
25 57.69230769230769
26 69.23076923076923
27 53.84615384615385
28 61.53846153846154
29 69.23076923076923
30 69.23076923076923
31 65.38461538461539
32 73.07692307692308
33 65.38461538461539
34 69.23076923076923
35 65.38461538461539
36 65.38461538461539
37 65.38461538461539
38 73.07692307692308
39 73.07692307692308
40 57.69230769230769
41 76.92307692307692
42 76.92307692307692
43 65.38461538461539
44 73.07692307692308
45 76.92307692307692
46 69.23076923076923
47 69.23076923076923
48 61.53846153846154
49 76.92307692307692
50 76.92307692307692
51 76.92307692307692
52 65.38461538461539
53 69.23076923076923
54 65.38461538461539
55 69.23076923076923
56 61.53846153846154
57 65.38461538461539
58 61.53846153846154
59 65.38461538461539
60 50.0
61 46.15384615384615
62 61.53846153846154
63 57.69230769230769
64 65.38461538461539
65 61.53846153846154
66 57.69230769230769
67 46.15384615384615
68 53.84615384615385
69 34.61538461538461
70 57.69230769230769
71 61.53846153846154
72 57.69230769230769
73 57.69230769230769
74 65.38461538461539
75 53.84615384615385
76 53.84615384615385
77 57.69230769230769
78 61.53846153846154
79 57.69230769230769
80 61.53846153846154
81 50.0
82 53.84615384615385
83 61.53846153846154
84 73.07692307692308
85 53.84615384615385
86 53.84615384615385
87 50.0
88 46.15384615384615
89 42.30769230769231
90 50.0
91 46.15384615384615
92 50.0
93 61.53846153846154
94 57.69230769230769
95 46.15384615384615
96 50.0
97 46.15384615384615
98 53.84615384615385
99 42.30769230769231
