#resid average_duration max_duration persistent_contacts
1 4.903448275862069 30 870
10 5.132132132132132 33 666
11 5.146373056994818 53 772
12 5.2935483870967746 38 620
13 4.943517329910141 36 779
14 5.059147180192572 37 727
15 5.221238938053097 36 565
16 5.381991814461118 35 733
17 5.0971337579617835 53 628
18 4.923728813559322 38 590
19 5.355555555555555 44 675
2 4.7957446808510635 42 705
20 4.647142857142857 34 700
21 4.987465181058496 37 718
22 4.709876543209877 36 648
23 5.010159651669086 44 689
24 4.561557788944723 32 796
25 5.079365079365079 43 756
26 5.026186579378069 53 611
3 4.826923076923077 34 676
4 5.083557951482479 32 742
5 4.924066924066924 34 777
6 4.79372197309417 43 669
7 5.255083179297597 53 541
8 4.893917963224894 35 707
9 4.611253196930947 36 782
#TOTAL_CONTACTS 51936 for 5000 frames
