#resid avg_dur_moy avg_dur_se max_dur_moy max_dur_se contacts_moy contacts_se
0 0.000 0.000 33234.333 28334.740 0.000 0.000
1 0.000 0.000 33885.667 28982.167 0.000 0.000
2 0.000 0.000 31526.667 26635.660 0.000 0.000
3 0.000 0.000 32215.667 27320.098 0.000 0.000
4 0.000 0.000 35826.667 30912.363 0.000 0.000
5 0.000 0.000 29341.000 24694.331 0.000 0.000
