#resid average_duration max_duration persistent_contacts
1 4.713881019830028 27 706
10 4.6377204884667576 25 737
11 4.796019900497512 29 804
12 4.622422680412371 30 776
13 4.8441734417344176 47 738
14 4.742682926829269 41 820
15 4.963343108504398 32 682
16 4.759103641456583 31 714
17 4.784237726098191 38 774
18 5.001101321585903 34 908
19 5.09915014164306 41 706
2 5.087025316455696 79 632
20 4.751157407407407 45 864
21 4.676388888888889 27 720
22 4.97875 35 800
23 4.638028169014085 23 710
24 4.762998790810157 32 827
25 4.695652173913044 41 828
26 4.870818915801615 42 867
3 4.875296912114014 32 842
4 4.884169884169884 42 777
5 4.648809523809524 52 672
6 4.93716577540107 35 748
7 5.10635838150289 79 865
8 5.069444444444445 47 720
9 4.916775032509753 52 769
#TOTAL_CONTACTS 57001 for 10100 frames
