#resid average_duration max_duration persistent_contacts
1 5.058743169398907 41 732
10 4.858461538461539 27 650
11 4.801566579634465 29 766
12 4.825779036827195 37 706
13 4.858321870701513 38 727
14 4.754716981132075 30 689
15 5.016374269005848 37 855
16 5.07192254495159 35 723
17 4.5 25 688
18 4.662371134020619 35 776
19 5.045329670329671 33 728
2 4.713278495887192 45 851
20 4.64332892998679 45 757
21 4.644871794871795 41 780
22 4.583220568335588 38 739
23 4.565499351491569 32 771
24 4.479843953185956 37 769
25 4.715061058344641 35 737
26 4.771197846567968 25 743
3 4.786259541984733 30 786
4 4.680628272251309 32 764
5 4.604754829123328 82 673
6 4.902985074626866 41 804
7 5.009472259810555 82 739
8 4.500638569604087 27 783
9 4.823741007194244 41 834
#TOTAL_CONTACTS 55440 for 10100 frames
