#resid average_duration max_duration persistent_contacts
1 4.760242792109256 38 659
10 5.5633270321361055 38 529
11 4.7926829268292686 36 738
12 5.254843517138599 108 671
13 5.379501385041551 108 722
14 4.787810383747178 27 886
15 4.769230769230769 32 793
16 4.905824039653036 40 807
17 4.829974811083123 38 794
18 5.182642487046632 44 772
19 4.922444183313749 33 851
2 4.907348242811501 34 626
20 4.76525198938992 44 754
21 4.772663877266388 26 717
22 4.974530831099195 36 746
23 4.8180555555555555 40 720
24 4.774074074074074 24 810
25 5.184438040345821 35 694
26 4.75720620842572 48 902
3 4.662482566248257 46 717
4 4.638850889192886 32 731
5 4.746851385390428 33 794
6 5.152037617554859 48 638
7 4.9363636363636365 40 770
8 4.619926199261992 26 813
9 4.969816272965879 37 762
#TOTAL_CONTACTS 56200 for 10100 frames
