#resid average_duration max_duration persistent_contacts
1 3.8620689655172415 15 29
10 3.774193548387097 23 31
11 3.5384615384615383 12 26
12 2.933333333333333 6 15
13 2.861111111111111 7 36
14 3.0714285714285716 9 14
15 3.2857142857142856 6 21
16 3.25 9 32
17 4.075 23 40
18 3.5652173913043477 15 23
19 3.2857142857142856 10 21
2 2.8947368421052633 6 38
20 3.0 9 26
21 2.413793103448276 4 29
22 3.1515151515151514 9 33
23 3.2790697674418605 9 43
24 3.8125 14 16
25 2.7241379310344827 5 29
26 2.933333333333333 10 30
3 3.225806451612903 9 31
4 3.3684210526315788 14 19
5 3.3076923076923075 9 13
6 2.6 6 20
7 3.0869565217391304 9 46
8 3.3793103448275863 8 29
9 3.125 6 32
#TOTAL_CONTACTS 1704 for 1000 frames
