           z         mean           se
    0.500000    19.184311     0.057347
    1.500000    19.184311     0.057347
    2.500000    18.867505     0.303618
    3.500000    17.441666     0.928197
    4.500000    16.181749     1.210649
    5.500000    14.317941     1.240531
    6.500000    12.231875     1.243649
    7.500000     8.674098     0.779343
    8.500000     6.690805     0.523638
    9.500000     4.823852     0.456354
   10.500000     3.015690     0.348509
   11.500000     1.866026     0.354200
   12.500000     1.141625     0.316179
   13.500000     0.740480     0.308668
   14.500000     0.707291     0.315063
   15.500000     0.863614     0.307913
   16.500000     1.310043     0.329106
   17.500000     2.086310     0.337826
   18.500000     2.776801     0.287787
   19.500000     3.468279     0.248652
   20.500000     3.854624     0.187603
   21.500000     3.831304     0.107962
   22.500000     3.213426     0.134361
   23.500000     2.449136     0.115015
   24.500000     1.804006     0.097471
   25.500000     1.241717     0.073194
   26.500000     0.836839     0.049681
   27.500000     0.474026     0.072264
   28.500000     0.314214     0.049350
   29.500000     0.146627     0.065288
   30.500000     0.010670     0.067496
   31.500000     0.017013     0.048949
   32.500000     0.012737     0.053582
   33.500000     0.045655     0.065602
   34.500000    -0.005375     0.069144
   35.500000     0.096883     0.058548
   36.500000     0.038746     0.050016
   37.500000     0.052384     0.064056
   38.500000     0.074641     0.037930
   39.500000     0.024441     0.036650
   40.500000     0.014872     0.032870
   41.500000    -0.012982     0.031674
   42.500000    -0.018417     0.031898
   43.500000     0.022500     0.031852
   44.500000     0.070780     0.023790
   45.500000     0.007663     0.012242
   46.500000     0.010030     0.040697
   47.500000    -0.048567     0.036868
   48.500000    -0.002974     0.024285
   49.500000    -0.042904     0.036516
   50.500000    -0.041301     0.042000
   51.500000    -0.025865     0.054022
   52.500000    -0.037113     0.052791
   53.500000    -0.081226     0.060262
   54.500000    -0.051122     0.067300
   55.500000    -0.044193     0.060323
   56.500000    -0.018169     0.068966
   57.500000    -0.074330     0.063679
   58.500000    -0.005715     0.069192
   59.500000    -0.063674     0.057761
   60.500000    -0.048913     0.049322
   61.500000    -0.052225     0.066864
   62.500000    -0.037312     0.059809
   63.500000     0.059623     0.068484
   64.500000     0.212263     0.075346
   65.500000     0.471863     0.088222
   66.500000     0.853567     0.087139
   67.500000     1.360130     0.113183
   68.500000     2.230571     0.105499
   69.500000     3.428888     0.141643
   70.500000     5.013613     0.162649
   71.500000     7.026696     0.266713
   72.500000     9.712108     0.533482
   73.500000    11.947665     1.003629
   74.500000    15.295046     0.858349
   75.500000    18.294386     0.614460
