#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 2.143 2.100 2.545 3 3 5 7 10 11
10 2.308 2.111 2.000 5 3 2 13 9 8
11 2.111 2.182 3.167 3 3 14 9 11 18
12 2.000 2.250 2.154 2 3 3 8 12 13
13 2.000 2.250 2.000 2 3 2 14 8 9
14 2.000 2.154 2.118 2 3 3 4 13 17
15 2.100 2.286 4.333 3 3 22 10 7 12
16 2.000 2.000 2.231 2 2 3 11 7 13
17 2.000 2.000 3.812 2 2 14 19 2 16
18 2.000 2.100 2.000 2 3 2 12 10 5
19 2.000 2.000 3.200 2 2 14 11 10 15
2 2.571 2.231 2.250 7 4 3 14 13 8
20 2.632 2.000 2.091 7 2 3 19 13 11
21 2.125 2.357 2.125 3 5 3 8 14 8
22 2.000 2.118 2.000 2 3 2 6 17 10
23 2.000 2.444 2.267 2 5 4 9 9 15
24 2.111 2.000 2.444 3 2 4 9 13 9
25 2.125 2.000 2.200 3 2 4 8 4 10
26 2.000 2.300 2.000 2 5 2 9 10 7
3 2.167 2.455 3.750 3 5 22 6 11 16
4 2.250 2.333 2.111 4 3 3 8 9 9
5 2.182 2.417 2.111 4 4 3 11 12 9
6 2.000 2.250 2.308 2 3 4 11 8 13
7 2.250 2.167 2.444 4 3 4 12 12 9
8 2.000 2.091 2.000 2 3 2 8 11 6
9 2.000 2.143 2.143 2 3 3 16 7 7
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 3044 3004 2953 601
