#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 2.839 2.765 2.853 7 6 9 31 34 34
10 3.000 3.088 2.833 10 12 7 26 34 18
11 2.889 2.800 3.140 6 7 12 27 50 57
12 2.857 2.875 2.842 6 8 6 28 24 19
13 3.812 2.818 2.849 10 7 9 16 33 53
14 2.857 3.385 2.645 7 9 7 35 39 31
15 3.100 2.529 2.962 10 6 7 30 34 26
16 3.321 2.852 3.417 11 9 8 28 27 36
17 3.062 2.852 3.111 8 6 7 32 27 36
18 3.500 2.735 2.923 11 6 5 22 34 13
19 3.708 2.833 3.094 7 6 13 24 30 32
2 3.050 3.020 3.107 6 12 8 20 50 28
20 2.640 3.023 3.300 6 7 8 25 43 40
21 3.023 3.462 2.444 7 10 5 43 39 27
22 2.900 2.625 2.900 8 7 9 20 24 40
23 2.886 3.065 2.850 5 10 7 35 62 40
24 3.064 2.976 3.481 9 8 9 47 42 27
25 2.375 2.795 3.333 5 6 8 24 44 36
26 3.027 2.917 2.865 7 6 7 37 36 37
3 3.357 3.133 2.308 7 9 5 28 30 26
4 3.174 2.641 3.360 7 5 12 23 39 50
5 2.744 2.970 2.783 8 6 7 43 33 23
6 2.914 2.786 2.344 10 8 4 35 42 32
7 3.371 2.833 3.086 8 7 13 35 24 35
8 2.971 2.861 2.667 7 8 7 35 36 30
9 2.744 2.931 3.062 7 10 8 39 58 16
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 1999 2341 2115 601
