#resid average_duration max_duration persistent_contacts
1 2.7777777777777777 5 9
10 4.288888888888889 25 45
11 6.212765957446808 42 47
12 0 0 0
13 4.357142857142857 13 42
14 3.8771929824561404 15 57
15 4.0 13 36
16 7.372881355932203 44 59
17 2.0 2 1
18 4.066666666666666 15 45
19 3.8823529411764706 18 51
2 4.297872340425532 15 47
20 4.580645161290323 18 62
21 4.108108108108108 12 37
22 4.490196078431373 18 51
23 4.702127659574468 20 47
24 3.735294117647059 8 34
25 5.076923076923077 10 13
26 2.75 5 4
3 3.764705882352941 14 68
4 5.2153846153846155 44 65
5 7.0 25 7
6 4.241379310344827 16 29
7 5.543478260869565 18 46
8 0 0 0
9 4.380952380952381 20 42
#TOTAL_CONTACTS 2626 for 1000 frames
