#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 2.842 2.774 3.250 5 6 7 19 31 16
10 2.633 2.471 3.000 6 4 7 30 17 12
11 2.577 2.619 2.727 4 7 5 26 21 11
12 3.615 2.571 2.455 11 5 4 13 14 11
13 2.867 2.886 2.882 5 7 5 15 35 17
14 2.923 2.939 2.933 6 7 9 13 33 15
15 3.200 2.727 2.500 7 6 3 15 22 6
16 3.000 2.304 3.125 5 4 11 18 23 16
17 2.957 3.333 2.579 8 6 4 23 9 19
18 2.619 2.875 3.080 5 5 7 21 40 25
19 3.111 2.944 3.133 8 6 7 18 18 15
2 2.737 2.450 2.552 4 5 5 19 20 29
20 2.700 2.778 2.933 4 5 8 10 18 15
21 3.167 2.545 3.333 7 7 9 18 11 15
22 2.895 2.714 2.947 6 5 9 19 21 19
23 2.267 2.773 2.800 3 7 5 15 22 30
24 2.767 2.364 2.750 6 4 5 30 11 24
25 2.750 3.067 2.786 5 7 6 20 15 14
26 2.440 2.400 2.467 6 4 5 25 15 15
3 2.800 2.810 2.615 8 6 4 25 21 13
4 2.857 3.000 3.625 6 7 11 28 17 16
5 2.969 2.706 2.579 11 7 5 32 17 19
6 2.300 3.500 2.750 4 6 5 10 22 12
7 3.000 2.520 2.955 8 5 9 21 25 22
8 2.800 2.829 3.000 6 5 6 25 35 11
9 3.000 2.941 2.182 6 6 3 28 17 11
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 1718 1738 1623 601
