z_center,total_mean,mono_mean,mono_std,mono_n,dimer_mean,dimer_std,dimer_n,agreg_mean,agreg_std,agreg_n,mono_se,dimer_se,agreg_se
0.5,253919.33333333334,0.2631197726475077,0.004034594099033395,3,0.19083899297697193,0.0013677954227397746,3,0.5460412343755204,0.005325167649354195,3,0.0023293739891478062,0.0007896970555151469,0.003074486975834531
1.5,232353.66666666666,0.2754772706692851,0.005575056278445722,3,0.19389388918515024,0.0027170482860122787,3,0.5306288401455647,0.00819362885588012,3,0.003218760243107951,0.0015686885593304005,0.004730593825582273
2.5,197649.33333333334,0.2978622850479167,0.0063162764637018035,3,0.19955367763644807,0.0022962708766849447,3,0.5025840373156353,0.008518606987971317,3,0.003646703916594334,0.001325752608786351,0.004918220037625868
3.5,159375.0,0.3244251922545586,0.005641160617600875,3,0.2045022706711489,0.004093717887767272,3,0.47107253707429253,0.009526331324844827,3,0.003256925601113781,0.002363509124488821,0.0055000299547887255
4.5,125265.33333333333,0.3534882419698775,0.007378520350893871,3,0.21437020994416703,0.0050956147430496045,3,0.43214154808595556,0.011587173892378538,3,0.004259990710809709,0.002941954543586315,0.006689857965911753
5.5,98616.33333333333,0.3907098703535679,0.012176627778641277,3,0.22772297847505277,0.0019881611741750797,3,0.38156715117137924,0.014106278013450699,3,0.007030179325820417,0.0011478653891023448,0.008144263408329461
6.5,81890.66666666667,0.4357645348103157,0.010512578579119324,3,0.24015856015647555,0.0011005823127414535,3,0.3240769050332087,0.011040162056487555,3,0.006069440072531635,0.0006354214945266191,0.006374040535210183
7.5,71396.33333333333,0.49813962666986483,0.011084770258405095,3,0.25087443125159137,0.0037397211411513472,3,0.2509859420785437,0.00965983323496367,3,0.006399795092595339,0.002159129007537865,0.005577107318533168
8.5,66157.0,0.5643919682086409,0.006035397416746626,3,0.2527004145475076,0.004712964420665414,3,0.18290761724385154,0.0016422594072464385,3,0.0034845383232250367,0.0027210312769523058,0.0009481589108529266
9.5,62486.0,0.630384302007734,0.005944988467734531,3,0.24658604638342796,0.004929040283204341,3,0.1230296516088381,0.002587973265094113,3,0.0034323406921757523,0.0028457827343545358,0.001494167061257641
10.5,58158.666666666664,0.6954317963285362,0.00792879031471138,3,0.22384920752456824,0.010942452558813131,3,0.08071899614689554,0.00374511518981814,3,0.004577689222546713,0.006317627930425471,0.0021622432629876598
