z_center,total_mean,mono_mean,mono_std,mono_n,dimer_mean,dimer_std,dimer_n,agreg_mean,agreg_std,agreg_n,mono_se,dimer_se,agreg_se
0.5,172247.66666666666,0.5610956720668868,0.009771010742938029,3,0.24347096653869418,0.004333511794883403,3,0.19543336139441903,0.009456639273871296,3,0.005641295682689997,0.002501954201312351,0.005459793230398781
1.5,162577.33333333334,0.571296741358476,0.011221521745863324,3,0.24219555552664693,0.0025062541404457348,3,0.1865077031148771,0.009625297338679563,3,0.00647874860069143,0.0014469865026439592,0.005557168009516835
2.5,145537.0,0.5873026179403897,0.01123142357732072,3,0.23895652096058617,0.00430959180149567,3,0.1737408610990241,0.007244703295599594,3,0.006484465425748828,0.0024881439866909294,0.004182731397913395
3.5,123796.33333333333,0.6094683043627187,0.008070521680239117,3,0.23426552319420813,0.003941415604226947,3,0.15626617244307314,0.005478758828713142,3,0.004659517864586765,0.0022755773600886195,0.0031631628845825714
4.5,103047.33333333333,0.6342457347011264,0.008337047748687593,3,0.2257086564568702,0.0054189323941891245,3,0.14004560884200343,0.002937800091185119,3,0.004813396761951545,0.0031286220765054744,0.0016961396734710356
5.5,86376.66666666667,0.6610787230612495,0.007431719728213329,3,0.21464730638826746,0.004692060084629427,3,0.12427397055048295,0.002751913544704307,3,0.004290705385625818,0.0027089621529146984,0.001588818025821609
6.5,74548.33333333333,0.6903039080913546,0.010061820785347732,3,0.20358692879097143,0.004644621396623208,3,0.10610916311767403,0.0069914746807201115,3,0.005809194938958285,0.002681573413624305,0.004036529788946209
7.5,67449.33333333333,0.7105728221686166,0.007280835975616115,3,0.19748665431022885,0.0032713299472433696,3,0.09194052352115455,0.004754245592163936,3,0.0042035926104474755,0.0018887032256490438,0.0027448649724294404
8.5,63839.666666666664,0.7300462645302064,0.0048523009715536174,3,0.19384456975918876,0.0010984712322228555,3,0.07610916571060479,0.004370050509104202,3,0.0028014772721155637,0.0006342026616209255,0.002523049837803572
9.5,61694.0,0.7478298694363336,0.004307005512633502,3,0.18857192975849513,0.003937417568050449,3,0.06359820080517128,0.00039851355111238817,3,0.0024866507921201546,0.0022732690928258885,0.000230081906010451
10.5,59747.333333333336,0.7695447187192888,0.008357866131171917,3,0.18059730988636255,0.007205878924155581,3,0.04985797139434866,0.0034193434795426335,3,0.004825416260682963,0.0041603161366090755,0.001974158878365731
11.5,55911.333333333336,0.8012749316181916,0.007649571061647878,3,0.15963176698103054,0.004323569308211726,3,0.03909330140077786,0.0037049307113987276,3,0.004416481911627574,0.0024962139039560443,0.002139042743554967
12.5,48759.0,0.832674243281256,0.013052312770180456,3,0.1401227270660864,0.0077760987719911676,3,0.027203029652657418,0.006151766581871067,3,0.0075357562914108766,0.00448953271925422,0.003551724092035005
