z_center,total_mean,mono_mean,mono_std,mono_n,dimer_mean,dimer_std,dimer_n,agreg_mean,agreg_std,agreg_n,mono_se,dimer_se,agreg_se
1.5,1.0,1.0,,1,0.0,,1,0.0,,1,,,
3.5,3.0,1.0,,1,0.0,,1,0.0,,1,,,
4.5,3.0,1.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,0.0
5.5,6.666666666666667,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,0.0
6.5,13.333333333333334,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,0.0
7.5,42.333333333333336,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,0.0
8.5,175.0,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,0.0
9.5,577.3333333333334,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,0.0
10.5,1660.0,0.9979560556468904,0.001482194722948447,3,0.002043944353109586,0.0014821947229484512,3,0.0,0.0,3,0.0008557455222857288,0.0008557455222857311,0.0
11.5,3527.3333333333335,0.9908582854598394,0.008919612970885893,3,0.008619793872102202,0.009388973318298362,3,0.0005219206680584552,0.0009039931145975351,3,0.005149740949808248,0.005420726272733773,0.0005219206680584552
12.5,6120.666666666667,0.9828538557023392,0.0137048024718068,3,0.01415437167238035,0.014771391224823157,3,0.0029917726252804786,0.005181902191679513,3,0.007912471396288305,0.008528266699956925,0.0029917726252804786
13.5,9046.0,0.9816816048328946,0.009301665662810673,3,0.014935167773215652,0.008020825646938581,3,0.003383227393889686,0.005859921739775779,3,0.0053703191743356415,0.004630825846383044,0.0033832273938896864
14.5,11279.333333333334,0.9738625724128821,0.0080083897601133,3,0.023896000248043295,0.007574309898835443,3,0.0022414273390745005,0.0036482057786375857,3,0.004623645983776857,0.00437302985901829,0.0021062925883555583
15.5,12039.666666666666,0.965473157796632,0.009747415144190679,3,0.0333452056901695,0.008864047315054668,3,0.0011816365131984373,0.0016264986616271256,3,0.005627672757401524,0.005117660103456392,0.0009390594401269871
16.5,11107.666666666666,0.9604080003836257,0.013624231743552345,3,0.037931661669630544,0.012340583820351563,3,0.0016603379467436264,0.0012846712324540942,3,0.00786595386464179,0.0071248393906371155,0.0007417052818775396
