z_center,total_mean,mono_mean,mono_std,mono_n,dimer_mean,dimer_std,dimer_n,agreg_mean,agreg_std,agreg_n,mono_se,dimer_se,agreg_se
8.5,7.0,1.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,0.0
9.5,22.0,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,0.0
10.5,61.0,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,0.0
11.5,216.0,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,0.0
12.5,665.0,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,0.0
13.5,1460.6666666666667,0.9951091098778627,0.007332909316330475,3,0.004890890122137322,0.007332909316330431,3,0.0,0.0,3,0.004233657167726515,0.004233657167726489,0.0
14.5,2804.6666666666665,0.9908448266657395,0.010854498302472463,3,0.009155173334260526,0.0108544983024724,3,0.0,0.0,3,0.006266847516850813,0.0062668475168507765,0.0
15.5,4484.666666666667,0.983194218483769,0.00529440773190536,3,0.016805781516231105,0.005294407731905376,3,0.0,0.0,3,0.003056727729215196,0.003056727729215205,0.0
16.5,6273.666666666667,0.9790834723373946,0.001641117780644151,3,0.020916527662605492,0.0016411177806441404,3,0.0,0.0,3,0.0009474997924267818,0.0009474997924267756,0.0
17.5,7971.333333333333,0.9716177806551415,0.008576819820307235,3,0.02838221934485861,0.00857681982030722,3,0.0,0.0,3,0.0049518292320453,0.004951829232045291,0.0
18.5,9059.333333333334,0.9544166948972551,0.013598179396243857,3,0.04558330510274492,0.013598179396243871,3,0.0,0.0,3,0.007850912534910215,0.007850912534910222,0.0
19.5,9624.666666666666,0.9374975373048593,0.02201333007110367,3,0.06194849722565502,0.02187686192480976,3,0.0005539654694857353,0.0009594963387880403,3,0.012709402042311788,0.01263061212131319,0.0005539654694857355
20.5,10255.0,0.9291156575000724,0.03412637567491799,3,0.06942811052740723,0.0345227561270323,3,0.0014562319725203306,0.0005332438579925717,3,0.0197028721823802,0.019931722543109903,0.00030786848495572585
21.5,12019.333333333334,0.9196377552466752,0.022926594871602108,3,0.07683541709705602,0.02260233632810832,3,0.0035268276562687973,0.002156672159861546,3,0.01323667572072097,0.013049464963347796,0.0012451552520498352
22.5,15546.333333333334,0.9069984205469698,0.013732138879924012,3,0.08475054979216241,0.012003265154775025,3,0.008251029660867814,0.0034310706360153463,3,0.007928254078873456,0.006930088368263816,0.001980929555312081
23.5,21218.333333333332,0.8940651556352455,0.006670986526940291,3,0.09281665071581739,0.007461047999081009,3,0.013118193648937135,0.0052564190867811665,3,0.003851495867089344,0.00430763807070614,0.0030347949747265937
24.5,29217.666666666668,0.87439121937382,0.00555594510503662,3,0.11110116378124696,0.006825534785463886,3,0.014507616844933046,0.001513816179296466,3,0.003207726401995676,0.00394072434575073,0.0008740021786204254
25.5,36808.0,0.8556860684154053,0.00418260509527461,3,0.12615973632499056,0.004096324902733617,3,0.018154195259604117,0.0009332872116954566,3,0.0024148281776706967,0.0023650142852814217,0.0005388336229036071
26.5,42820.666666666664,0.8317343960203166,0.0028175353498453375,3,0.1435493750231279,0.001873886406090069,3,0.02471622895655545,0.0034219329559919912,3,0.0016267047926844921,0.0010818888209868818,0.001975653913290828
27.5,45358.0,0.8122686204605398,0.003553418108012331,3,0.15608687529855383,0.001741257742167595,3,0.0316445042409064,0.0018334019769866382,3,0.00205156690120421,0.001005315626168981,0.0010585151249460276
28.5,45201.666666666664,0.7971005734284486,0.006737615256703491,3,0.16459693652355092,0.005028454942083671,3,0.03830249004800048,0.00254946003072572,3,0.00388996398215389,0.002903179814419912,0.001471931435027686
29.5,43231.0,0.7856922255239907,0.005781531621692497,3,0.1728267564716873,0.0045888737129230325,3,0.04148101800432203,0.0018862719732781336,3,0.003337968838112497,0.0026493874734333104,0.001089039631536977
30.5,40836.333333333336,0.7814200570534955,0.006123136954762386,3,0.17509437622825352,0.00750612206764339,3,0.04348556671825094,0.0014804997582824788,3,0.003535194769117009,0.004333661596324102,0.0008547669339795651
31.5,38794.0,0.7791177545112767,0.004089200763738107,3,0.17333258546945893,0.006315673619046092,3,0.047549660019264334,0.0023596236014923953,3,0.0023609011617146194,0.0036463558640700794,0.0013623293215078288
32.5,36923.0,0.784241788085323,0.0034270288589447803,3,0.1714070216995666,0.0036948567385641073,3,0.044351190215110546,0.0016704832377281355,3,0.001978596034232385,0.0021332265326270902,0.0009644539469790967
33.5,35346.0,0.7895943629266614,0.007852836317305944,3,0.1676996930357831,0.0068230410903767505,3,0.042705944037555434,0.0025981026285705196,3,0.004533837161698657,0.003939284610220895,0.0015000152519874638
34.5,34524.333333333336,0.7955214794972232,0.007572008464691743,3,0.1601621905005646,0.006740179452977277,3,0.044316330002212224,0.0009160618651548082,3,0.004371701125395903,0.0038914444215628155,0.0005288885644414792
35.5,33561.0,0.8039146202368245,0.009002245909922626,3,0.15470373903967052,0.00562976796174323,3,0.04138164072350492,0.003893826920600733,3,0.005197449099405036,0.0032503480481875847,0.002248102020786645
