#resid average_duration max_duration persistent_contacts
1 5.967741935483871 16 31
10 7.1923076923076925 31 26
11 9.28125 155 32
12 16.77777777777778 123 27
13 6.764705882352941 55 51
14 10.166666666666666 239 60
15 10.25 59 16
16 4.045454545454546 28 44
17 7.318181818181818 31 22
18 13.67142857142857 239 70
19 12.123076923076923 123 65
2 11.0 67 15
20 5.214285714285714 15 14
21 7.613636363636363 63 88
22 10.886363636363637 76 44
23 9.0 81 90
24 12.047619047619047 163 63
25 15.456521739130435 99 46
26 4.52 12 25
3 3.0 5 3
4 7.1234567901234565 155 81
5 14.21875 163 96
6 10.093333333333334 86 75
7 6.045454545454546 16 22
8 5.176470588235294 30 51
9 9.815384615384616 81 65
#TOTAL_CONTACTS 6609 for 1000 frames
