#resid average_duration max_duration persistent_contacts
1 4.837837837837838 19 37
10 5.481481481481482 24 54
11 4.258064516129032 20 31
12 9.266666666666667 55 15
13 10.142857142857142 55 14
14 5.255813953488372 27 43
15 5.0 24 43
16 6.214285714285714 25 42
17 6.226415094339623 34 53
18 5.219512195121951 22 41
19 22.333333333333332 243 24
2 8.266666666666667 74 30
20 6.653846153846154 34 52
21 4.45 17 40
22 10.03225806451613 105 31
23 0 0 0
24 4.5 26 48
25 11.23076923076923 74 13
26 6.428571428571429 45 42
3 5.658536585365853 34 41
4 5.84 27 50
5 6.7894736842105265 27 38
6 20.65909090909091 243 44
7 11.275862068965518 77 29
8 5.266666666666667 14 30
9 9.971428571428572 77 35
#TOTAL_CONTACTS 3907 for 1000 frames
