#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 2.000 2.000 2.000 2 2 2 2 1 2
10 3.250 0.000 2.000 5 0 2 4 0 1
11 2.333 0.000 2.000 3 0 2 3 0 2
12 3.000 2.250 2.100 3 3 3 1 4 10
13 0.000 2.250 2.200 0 3 3 0 4 5
14 2.000 2.000 2.000 2 2 2 1 1 3
15 0.000 2.000 2.222 0 2 3 0 1 9
16 2.000 2.000 2.111 2 2 3 5 1 9
17 2.333 2.000 2.000 3 2 2 3 1 2
18 2.000 2.250 2.000 2 3 2 2 4 1
19 3.200 2.000 2.000 5 2 2 5 1 1
2 2.000 2.000 2.000 2 2 2 5 1 5
20 3.000 2.000 0.000 5 2 0 3 2 0
21 2.500 2.000 2.333 3 2 3 2 4 3
22 2.000 2.000 2.500 2 2 3 3 2 2
23 2.000 3.000 2.167 2 3 3 4 1 6
24 2.000 2.000 2.000 2 2 2 1 1 3
25 2.500 2.000 0.000 3 2 0 2 2 0
26 2.000 2.000 2.000 2 2 2 2 3 1
3 4.000 2.000 2.000 5 2 2 3 3 2
4 2.400 2.000 2.000 3 2 2 5 3 3
5 0.000 2.000 2.000 0 2 2 0 1 1
6 2.333 2.000 3.000 3 2 3 3 4 1
7 2.333 2.000 2.000 3 2 2 3 3 4
8 2.750 2.000 2.200 5 2 3 4 2 5
9 2.000 2.000 2.000 2 2 2 2 2 3
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 1438 1417 1494 601
