#resid avg_dur_moy avg_dur_se max_dur_moy max_dur_se contacts_moy contacts_se
0 0.000 0.000 13463.667 8904.528 0.000 0.000
1 0.000 0.000 12778.667 8259.765 0.000 0.000
2 0.000 0.000 13024.667 8489.807 0.000 0.000
3 0.000 0.000 12551.333 8046.321 0.000 0.000
4 0.000 0.000 12988.000 8454.241 0.000 0.000
5 0.000 0.000 12548.333 8226.174 0.000 0.000
