#resid average_duration max_duration persistent_contacts
1 3.076923076923077 7 13
10 4.72972972972973 28 37
11 2.4285714285714284 3 7
12 24.2 561 80
13 9.944444444444445 105 18
14 17.25 305 28
15 10.166666666666666 50 6
16 7.101449275362318 68 69
17 13.306451612903226 155 62
18 20.846153846153847 161 26
19 12.884615384615385 352 52
2 8.3 83 30
20 17.275862068965516 305 29
21 3.138888888888889 7 36
22 4.857142857142857 17 28
23 10.709677419354838 58 31
24 6.37037037037037 28 27
25 11.909090909090908 75 33
26 8.384615384615385 83 39
3 23.63157894736842 561 57
4 4.583333333333333 19 24
5 7.25 47 32
6 10.925 105 40
7 59.0 161 5
8 7.638888888888889 68 36
9 7.96 85 25
#TOTAL_CONTACTS 5678 for 1000 frames
