#frame monomers_% popc_isolated_%
0 38.46153846153846 0.0
1 38.46153846153846 0.0
2 46.15384615384615 0.0
3 46.15384615384615 0.0
4 42.30769230769231 0.0
5 53.84615384615385 0.0
6 34.61538461538461 0.0
7 46.15384615384615 0.0
8 46.15384615384615 0.0
9 42.30769230769231 0.0
10 46.15384615384615 0.0
11 50.0 0.0
12 42.30769230769231 0.0
13 46.15384615384615 0.0
14 50.0 0.0
15 50.0 0.0
16 50.0 0.0
17 46.15384615384615 0.0
18 38.46153846153846 0.0
19 38.46153846153846 0.0
20 38.46153846153846 0.0
21 50.0 0.0
22 50.0 0.0
23 42.30769230769231 0.0
24 50.0 0.0
25 50.0 0.0
26 50.0 0.0
27 42.30769230769231 0.0
28 42.30769230769231 0.0
29 50.0 0.0
30 42.30769230769231 0.0
31 38.46153846153846 0.0
32 50.0 0.0
33 30.76923076923077 0.0
34 50.0 0.0
35 50.0 0.0
36 38.46153846153846 0.0
37 38.46153846153846 0.0
38 57.69230769230769 0.0
39 50.0 0.0
40 46.15384615384615 0.0
41 50.0 0.0
42 50.0 0.0
43 46.15384615384615 0.0
44 50.0 0.0
45 42.30769230769231 0.0
46 50.0 0.0
47 53.84615384615385 0.0
48 53.84615384615385 0.0
49 50.0 0.0
50 53.84615384615385 0.0
51 53.84615384615385 0.0
52 50.0 0.0
53 53.84615384615385 0.0
54 46.15384615384615 0.0
55 50.0 0.0
56 53.84615384615385 0.0
57 53.84615384615385 0.0
58 50.0 0.0
59 53.84615384615385 0.0
60 50.0 0.0
61 50.0 0.0
62 46.15384615384615 0.0
63 46.15384615384615 0.0
64 46.15384615384615 0.0
65 46.15384615384615 0.0
66 50.0 0.0
67 42.30769230769231 0.0
68 34.61538461538461 0.0
69 42.30769230769231 0.0
70 46.15384615384615 0.0
71 42.30769230769231 0.0
72 46.15384615384615 0.0
73 34.61538461538461 0.0
74 46.15384615384615 0.0
75 50.0 0.0
76 46.15384615384615 0.0
77 53.84615384615385 0.0
78 42.30769230769231 0.0
79 46.15384615384615 0.0
80 46.15384615384615 0.0
81 46.15384615384615 0.0
82 50.0 0.0
83 38.46153846153846 0.0
84 50.0 0.0
85 50.0 0.0
86 50.0 0.0
87 53.84615384615385 0.0
88 50.0 0.0
89 57.69230769230769 0.0
90 53.84615384615385 0.0
91 50.0 0.0
92 53.84615384615385 0.0
93 53.84615384615385 0.0
94 53.84615384615385 0.0
95 46.15384615384615 0.0
96 46.15384615384615 0.0
97 50.0 0.0
98 50.0 0.0
99 65.38461538461539 0.0
100 65.38461538461539 0.0
101 46.15384615384615 0.0
102 46.15384615384615 0.0
103 46.15384615384615 0.0
104 61.53846153846154 0.0
105 46.15384615384615 0.0
106 46.15384615384615 0.0
107 50.0 0.0
108 50.0 0.0
109 50.0 0.0
110 53.84615384615385 0.0
111 42.30769230769231 0.0
112 42.30769230769231 0.0
113 42.30769230769231 0.0
114 57.69230769230769 0.0
115 53.84615384615385 0.0
116 65.38461538461539 0.0
117 46.15384615384615 0.0
118 57.69230769230769 0.0
119 42.30769230769231 0.0
120 38.46153846153846 0.0
121 42.30769230769231 0.0
122 42.30769230769231 0.0
123 50.0 0.0
124 50.0 0.0
125 46.15384615384615 0.0
126 42.30769230769231 0.0
127 42.30769230769231 0.0
128 50.0 0.0
129 57.69230769230769 0.0
130 46.15384615384615 0.0
131 46.15384615384615 0.0
132 46.15384615384615 0.0
133 46.15384615384615 0.0
134 46.15384615384615 0.0
135 46.15384615384615 0.0
136 53.84615384615385 0.0
137 42.30769230769231 0.0
138 38.46153846153846 0.0
139 38.46153846153846 0.0
140 46.15384615384615 0.0
141 42.30769230769231 0.0
142 50.0 0.0
143 38.46153846153846 0.0
144 46.15384615384615 0.0
145 46.15384615384615 0.0
146 53.84615384615385 0.0
147 53.84615384615385 0.0
148 46.15384615384615 0.0
149 50.0 0.0
150 46.15384615384615 0.0
151 50.0 0.0
152 50.0 0.0
153 42.30769230769231 0.0
154 42.30769230769231 0.0
155 50.0 0.0
156 46.15384615384615 0.0
157 50.0 0.0
158 42.30769230769231 0.0
159 46.15384615384615 0.0
160 46.15384615384615 0.0
161 42.30769230769231 0.0
162 50.0 0.0
163 53.84615384615385 0.0
164 50.0 0.0
165 50.0 0.0
166 38.46153846153846 0.0
167 42.30769230769231 0.0
168 34.61538461538461 0.0
169 50.0 0.0
170 38.46153846153846 0.0
171 46.15384615384615 0.0
172 46.15384615384615 0.0
173 46.15384615384615 0.0
174 42.30769230769231 0.0
175 53.84615384615385 0.0
176 46.15384615384615 0.0
177 38.46153846153846 0.0
178 42.30769230769231 0.0
179 26.923076923076923 0.0
180 34.61538461538461 0.0
181 30.76923076923077 0.0
182 34.61538461538461 0.0
183 46.15384615384615 0.0
184 46.15384615384615 0.0
185 50.0 0.0
186 50.0 0.0
187 34.61538461538461 0.0
188 34.61538461538461 0.0
189 30.76923076923077 0.0
190 23.076923076923077 0.0
191 26.923076923076923 0.0
192 23.076923076923077 0.0
193 42.30769230769231 0.0
194 38.46153846153846 0.0
195 42.30769230769231 0.0
196 15.384615384615385 0.0
197 26.923076923076923 0.0
198 34.61538461538461 0.0
199 38.46153846153846 0.0
200 30.76923076923077 0.0
201 26.923076923076923 0.0
202 38.46153846153846 0.0
203 34.61538461538461 0.0
204 42.30769230769231 0.0
205 30.76923076923077 0.0
206 42.30769230769231 0.0
207 38.46153846153846 0.0
208 34.61538461538461 0.0
209 38.46153846153846 0.0
210 34.61538461538461 0.0
211 26.923076923076923 0.0
212 30.76923076923077 0.0
213 34.61538461538461 0.0
214 30.76923076923077 0.0
215 26.923076923076923 0.0
216 34.61538461538461 0.0
217 30.76923076923077 0.0
218 30.76923076923077 0.0
219 34.61538461538461 0.0
220 34.61538461538461 0.0
221 34.61538461538461 0.0
222 34.61538461538461 0.0
223 26.923076923076923 0.0
224 34.61538461538461 0.0
225 34.61538461538461 0.0
226 30.76923076923077 0.0
227 26.923076923076923 0.0
228 34.61538461538461 0.0
229 30.76923076923077 0.0
230 34.61538461538461 0.0
231 30.76923076923077 0.0
232 34.61538461538461 0.0
233 34.61538461538461 0.0
234 34.61538461538461 0.0
235 34.61538461538461 0.0
236 34.61538461538461 0.0
237 34.61538461538461 0.0
238 34.61538461538461 0.0
239 30.76923076923077 0.0
240 34.61538461538461 0.0
241 26.923076923076923 0.0
242 34.61538461538461 0.0
243 26.923076923076923 0.0
244 34.61538461538461 0.0
245 34.61538461538461 0.0
246 34.61538461538461 0.0
247 34.61538461538461 0.0
248 34.61538461538461 0.0
249 34.61538461538461 0.0
250 30.76923076923077 0.0
251 38.46153846153846 0.0
252 34.61538461538461 0.0
253 30.76923076923077 0.0
254 34.61538461538461 0.0
255 38.46153846153846 0.0
256 38.46153846153846 0.0
257 34.61538461538461 0.0
258 42.30769230769231 0.0
259 34.61538461538461 0.0
260 46.15384615384615 0.0
261 42.30769230769231 0.0
262 42.30769230769231 0.0
263 50.0 0.0
264 38.46153846153846 0.0
265 30.76923076923077 0.0
266 26.923076923076923 0.0
267 38.46153846153846 0.0
268 38.46153846153846 0.0
269 38.46153846153846 0.0
270 38.46153846153846 0.0
271 34.61538461538461 0.0
272 34.61538461538461 0.0
273 30.76923076923077 0.0
274 34.61538461538461 0.0
275 42.30769230769231 0.0
276 26.923076923076923 0.0
277 34.61538461538461 0.0
278 34.61538461538461 0.0
279 38.46153846153846 0.0
280 34.61538461538461 0.0
281 34.61538461538461 0.0
282 38.46153846153846 0.0
283 34.61538461538461 0.0
284 26.923076923076923 0.0
285 30.76923076923077 0.0
286 30.76923076923077 0.0
287 30.76923076923077 0.0
288 30.76923076923077 0.0
289 38.46153846153846 0.0
290 38.46153846153846 0.0
291 38.46153846153846 0.0
292 30.76923076923077 0.0
293 38.46153846153846 0.0
294 34.61538461538461 0.0
295 34.61538461538461 0.0
296 26.923076923076923 0.0
297 30.76923076923077 0.0
298 34.61538461538461 0.0
299 30.76923076923077 0.0
300 34.61538461538461 0.0
301 26.923076923076923 0.0
302 34.61538461538461 0.0
303 30.76923076923077 0.0
304 30.76923076923077 0.0
305 34.61538461538461 0.0
306 34.61538461538461 0.0
307 34.61538461538461 0.0
