#resid average_duration max_duration persistent_contacts
1 6.3884297520661155 318 484
10 5.422155688622754 104 668
11 5.174652241112828 133 647
12 5.199367088607595 41 632
13 5.887795275590551 104 508
14 4.943452380952381 28 672
15 5.180693069306931 31 808
16 5.242372881355932 35 590
17 4.9907161803713525 37 754
18 5.021164021164021 42 756
19 4.866197183098592 36 852
2 4.994490358126722 29 726
20 5.330568720379147 157 844
21 5.285074626865671 106 670
22 5.068527918781726 41 788
23 5.050980392156863 28 765
24 5.744868035190616 318 682
25 5.258555133079848 46 789
26 4.902086677367576 42 623
3 5.147208121827411 46 788
4 5.352739726027397 133 584
5 5.118421052631579 35 760
6 5.5470494417862835 186 627
7 5.186390532544379 35 676
8 4.657784011220197 34 713
9 4.927440633245382 31 758
#TOTAL_CONTACTS 55130 for 10100 frames
