#resid average_duration max_duration persistent_contacts
1 5.345505617977528 151 712
10 5.308115543328748 35 727
11 5.38136826783115 59 687
12 5.020080321285141 32 747
13 4.873671782762692 26 847
14 4.775106082036775 35 707
15 4.886956521739131 53 690
16 5.792738275340393 299 661
17 4.9 51 490
18 5.71121351766513 299 651
19 5.55290611028316 174 671
2 6.483033932135728 174 501
20 4.68169014084507 37 355
21 5.38752052545156 84 609
22 4.766881028938907 34 622
23 5.236585365853658 51 820
24 4.899513776337115 27 617
25 7.867036011080333 356 361
26 5.788 105 500
3 5.775596072931276 151 713
4 4.966981132075472 40 424
5 5.919003115264798 356 642
6 5.032806804374241 55 823
7 5.40625 79 448
8 5.4403927068723705 178 713
9 4.744927536231884 26 690
#TOTAL_CONTACTS 51049 for 10100 frames
