#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 2.000 0.000 0.000 2 0 0 1 0 0
10 0.000 2.000 2.000 0 2 2 0 1 1
11 2.000 0.000 0.000 2 0 0 1 0 0
12 2.000 0.000 2.000 2 0 2 1 0 3
13 0.000 0.000 2.000 0 0 2 0 0 1
14 0.000 2.000 2.000 0 2 2 0 1 1
15 0.000 0.000 0.000 0 0 0 0 0 0
16 0.000 0.000 2.000 0 0 2 0 0 2
17 0.000 0.000 2.000 0 0 2 0 0 1
18 2.000 0.000 3.000 2 0 3 1 0 1
19 0.000 0.000 0.000 0 0 0 0 0 0
2 2.000 0.000 0.000 2 0 0 1 0 0
20 0.000 0.000 0.000 0 0 0 0 0 0
21 2.000 0.000 2.000 2 0 2 1 0 1
22 0.000 0.000 2.000 0 0 2 0 0 2
23 2.000 0.000 0.000 2 0 0 2 0 0
24 2.000 0.000 0.000 2 0 0 1 0 0
25 0.000 0.000 0.000 0 0 0 0 0 0
26 2.000 0.000 0.000 2 0 0 1 0 0
3 2.000 0.000 0.000 2 0 0 2 0 0
4 0.000 0.000 0.000 0 0 0 0 0 0
5 0.000 0.000 3.000 0 0 3 0 0 1
6 2.000 0.000 2.000 2 0 2 1 0 1
7 0.000 2.000 0.000 0 2 0 0 1 0
8 0.000 2.000 2.000 0 2 2 0 1 1
9 2.000 0.000 0.000 2 0 0 1 0 0
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 657 634 724 601
