#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 2.175 2.047 2.235 3 3 4 40 43 51
10 2.059 2.038 2.179 3 3 3 34 26 39
11 2.175 2.032 2.185 3 3 4 40 31 27
12 2.167 2.147 2.074 4 3 3 30 34 27
13 2.103 2.154 2.125 3 3 4 29 26 32
14 2.150 2.108 2.214 3 3 4 40 37 42
15 2.094 2.139 2.135 3 3 4 32 36 37
16 2.194 2.075 2.242 4 3 4 31 40 33
17 2.097 2.105 2.030 4 4 3 31 38 33
18 2.184 2.171 2.162 4 3 4 38 35 37
19 2.111 2.194 2.108 3 3 3 36 36 37
2 2.135 2.022 2.125 3 3 3 37 46 40
20 2.146 2.207 2.083 4 4 4 41 29 36
21 2.065 2.119 2.108 3 4 4 31 42 37
22 2.148 2.103 2.111 3 3 4 27 29 36
23 2.118 2.083 2.138 4 3 4 34 36 29
24 2.025 2.135 2.179 3 3 4 40 37 28
25 2.120 2.086 2.282 3 3 4 25 35 39
26 2.026 2.250 2.118 3 4 4 39 36 34
3 2.214 2.200 2.031 3 4 3 28 40 32
4 2.114 2.119 2.040 4 4 3 44 42 25
5 2.121 2.038 2.086 3 3 3 33 26 35
6 2.081 2.100 2.125 3 3 4 37 30 32
7 2.077 2.184 2.256 3 4 4 26 49 43
8 2.156 2.200 2.081 3 3 3 45 35 37
9 2.056 2.222 2.120 3 4 3 36 36 50
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 5506 5509 5608 601
