#resid average_duration max_duration persistent_contacts
1 6.439490445859873 39 157
10 6.235 44 200
11 6.836477987421383 52 159
12 6.872093023255814 108 172
13 5.911290322580645 31 124
14 7.089285714285714 65 168
15 6.318181818181818 42 176
16 6.648809523809524 35 168
17 6.511904761904762 33 84
18 5.6798245614035086 29 228
19 7.6891891891891895 108 148
2 4.62962962962963 31 135
20 6.91156462585034 60 147
21 6.232558139534884 49 129
22 9.015503875968992 90 129
23 5.741666666666666 46 120
24 5.5120481927710845 29 166
25 7.694444444444445 58 108
26 6.301369863013699 52 146
3 6.434210526315789 32 76
4 6.813397129186603 66 209
5 5.141025641025641 41 156
6 5.05625 49 160
7 5.541935483870968 33 155
8 5.671875 60 128
9 6.969387755102041 55 196
#TOTAL_CONTACTS 14535 for 1000 frames
