#resid average_duration max_duration persistent_contacts
1 5.726851851851852 34 216
10 5.313253012048193 44 166
11 6.264462809917355 44 121
12 7.413793103448276 57 116
13 5.172727272727273 34 110
14 6.341614906832298 57 161
15 5.70873786407767 32 103
16 7.122448979591836 110 147
17 5.382113821138211 43 123
18 7.320987654320987 45 162
19 4.228571428571429 23 105
2 6.791946308724833 52 149
20 5.7226277372262775 35 137
21 5.7682926829268295 45 82
22 6.909090909090909 44 121
23 4.988505747126437 35 174
24 6.514450867052023 71 173
25 6.253246753246753 45 154
26 5.937142857142857 48 175
3 6.310126582278481 53 158
4 7.777777777777778 110 126
5 6.404040404040404 52 198
6 5.404761904761905 71 210
7 6.0843373493975905 36 166
8 6.987654320987654 94 81
9 5.7 37 180
#TOTAL_CONTACTS 13653 for 1000 frames
