#resid average_duration max_duration persistent_contacts
1 5.378995433789954 42 219
10 5.219917012448133 34 241
11 5.620320855614973 76 187
12 5.472803347280335 32 239
13 4.980861244019139 34 209
14 4.595238095238095 23 168
15 6.289099526066351 76 211
16 5.530864197530864 41 162
17 4.78125 32 224
18 5.700564971751413 42 177
19 5.261306532663316 41 199
2 4.809322033898305 41 236
20 4.872727272727273 30 220
21 4.5829383886255926 36 211
22 5.212290502793296 27 179
23 5.193693693693693 27 222
24 4.746543778801843 22 217
25 4.888030888030888 27 259
26 5.140495867768595 33 121
3 5.160550458715596 41 218
4 5.937853107344632 51 177
5 4.9950248756218905 31 201
6 5.623076923076923 34 130
7 5.405529953917051 29 217
8 5.485294117647059 36 204
9 5.70945945945946 51 148
#TOTAL_CONTACTS 16325 for 1000 frames
