#frame monomers_% popc_isolated_%
0 30.76923076923077 0.0
1 34.61538461538461 0.0
2 34.61538461538461 0.0
3 38.46153846153846 0.0
4 46.15384615384615 0.0
5 34.61538461538461 0.0
6 42.30769230769231 0.0
7 30.76923076923077 0.0
8 34.61538461538461 0.0
9 42.30769230769231 0.0
10 42.30769230769231 0.0
11 46.15384615384615 0.0
12 42.30769230769231 0.0
13 34.61538461538461 0.0
14 46.15384615384615 0.0
15 30.76923076923077 0.0
16 38.46153846153846 0.0
17 46.15384615384615 0.0
18 34.61538461538461 0.0
19 46.15384615384615 0.0
20 53.84615384615385 0.0
21 30.76923076923077 0.0
22 53.84615384615385 0.0
23 50.0 0.0
24 46.15384615384615 0.0
25 30.76923076923077 0.0
26 34.61538461538461 0.0
27 46.15384615384615 0.0
28 46.15384615384615 0.0
29 42.30769230769231 0.0
30 38.46153846153846 0.0
31 46.15384615384615 0.0
32 46.15384615384615 0.0
33 42.30769230769231 0.0
34 50.0 0.0
35 50.0 0.0
36 46.15384615384615 0.0
37 42.30769230769231 0.0
38 38.46153846153846 0.0
39 34.61538461538461 0.0
40 34.61538461538461 0.0
41 50.0 0.0
42 30.76923076923077 0.0
43 34.61538461538461 0.0
44 26.923076923076923 0.0
45 42.30769230769231 0.0
46 30.76923076923077 0.0
47 46.15384615384615 0.0
48 26.923076923076923 0.0
49 30.76923076923077 0.0
50 26.923076923076923 0.0
51 30.76923076923077 0.0
52 38.46153846153846 0.0
53 26.923076923076923 0.0
54 19.23076923076923 0.0
55 30.76923076923077 0.0
56 26.923076923076923 0.0
57 26.923076923076923 0.0
58 19.23076923076923 0.0
59 19.23076923076923 0.0
60 30.76923076923077 0.0
61 19.23076923076923 0.0
62 30.76923076923077 0.0
63 34.61538461538461 0.0
64 30.76923076923077 0.0
65 34.61538461538461 0.0
66 34.61538461538461 0.0
67 26.923076923076923 0.0
68 38.46153846153846 0.0
69 30.76923076923077 0.0
70 26.923076923076923 0.0
71 30.76923076923077 0.0
72 34.61538461538461 0.0
73 26.923076923076923 0.0
74 34.61538461538461 0.0
75 26.923076923076923 0.0
76 30.76923076923077 0.0
77 30.76923076923077 0.0
78 26.923076923076923 0.0
79 30.76923076923077 0.0
80 30.76923076923077 0.0
81 34.61538461538461 0.0
82 34.61538461538461 0.0
83 30.76923076923077 0.0
84 23.076923076923077 0.0
85 19.23076923076923 0.0
86 26.923076923076923 0.0
87 26.923076923076923 0.0
88 34.61538461538461 0.0
89 23.076923076923077 0.0
90 30.76923076923077 0.0
91 23.076923076923077 0.0
92 42.30769230769231 0.0
93 15.384615384615385 0.0
94 26.923076923076923 0.0
95 42.30769230769231 0.0
96 46.15384615384615 0.0
97 34.61538461538461 0.0
98 46.15384615384615 0.0
99 46.15384615384615 0.0
100 38.46153846153846 0.0
101 30.76923076923077 0.0
102 42.30769230769231 0.0
103 34.61538461538461 0.0
104 42.30769230769231 0.0
105 42.30769230769231 0.0
106 42.30769230769231 0.0
107 42.30769230769231 0.0
108 42.30769230769231 0.0
109 42.30769230769231 0.0
110 34.61538461538461 0.0
111 42.30769230769231 0.0
112 42.30769230769231 0.0
113 46.15384615384615 0.0
114 34.61538461538461 0.0
115 38.46153846153846 0.0
116 42.30769230769231 0.0
117 42.30769230769231 0.0
118 46.15384615384615 0.0
119 46.15384615384615 0.0
120 53.84615384615385 0.0
121 50.0 0.0
122 42.30769230769231 0.0
123 46.15384615384615 0.0
124 46.15384615384615 0.0
125 38.46153846153846 0.0
126 38.46153846153846 0.0
127 42.30769230769231 0.0
128 46.15384615384615 0.0
129 42.30769230769231 0.0
130 53.84615384615385 0.0
131 61.53846153846154 0.0
132 42.30769230769231 0.0
133 61.53846153846154 0.0
134 53.84615384615385 0.0
135 42.30769230769231 0.0
136 38.46153846153846 0.0
137 46.15384615384615 0.0
138 53.84615384615385 0.0
139 46.15384615384615 0.0
140 46.15384615384615 0.0
141 42.30769230769231 0.0
142 50.0 0.0
143 38.46153846153846 0.0
144 34.61538461538461 0.0
145 46.15384615384615 0.0
146 38.46153846153846 0.0
147 57.69230769230769 0.0
148 42.30769230769231 0.0
149 46.15384615384615 0.0
150 42.30769230769231 0.0
151 30.76923076923077 0.0
152 38.46153846153846 0.0
153 30.76923076923077 0.0
154 38.46153846153846 0.0
155 26.923076923076923 0.0
156 38.46153846153846 0.0
157 34.61538461538461 0.0
158 30.76923076923077 0.0
159 34.61538461538461 0.0
160 46.15384615384615 0.0
161 34.61538461538461 0.0
162 42.30769230769231 0.0
163 38.46153846153846 0.0
164 38.46153846153846 0.0
165 38.46153846153846 0.0
166 50.0 0.0
167 38.46153846153846 0.0
168 38.46153846153846 0.0
169 34.61538461538461 0.0
170 38.46153846153846 0.0
171 30.76923076923077 0.0
172 34.61538461538461 0.0
173 23.076923076923077 0.0
174 30.76923076923077 0.0
175 26.923076923076923 0.0
176 30.76923076923077 0.0
177 26.923076923076923 0.0
178 26.923076923076923 0.0
179 38.46153846153846 0.0
180 42.30769230769231 0.0
181 26.923076923076923 0.0
182 30.76923076923077 0.0
183 30.76923076923077 0.0
184 30.76923076923077 0.0
185 19.23076923076923 0.0
186 19.23076923076923 0.0
187 26.923076923076923 0.0
188 23.076923076923077 0.0
189 23.076923076923077 0.0
190 15.384615384615385 0.0
191 30.76923076923077 0.0
192 34.61538461538461 0.0
193 23.076923076923077 0.0
194 38.46153846153846 0.0
195 30.76923076923077 0.0
196 30.76923076923077 0.0
197 34.61538461538461 0.0
198 26.923076923076923 0.0
199 42.30769230769231 0.0
