#resid average_duration max_duration persistent_contacts
1 5.491803278688525 30 244
10 5.98989898989899 82 198
11 6.134020618556701 39 194
12 6.387878787878788 48 165
13 4.718518518518518 40 135
14 5.671232876712328 52 219
15 6.1796875 27 128
16 5.98876404494382 29 178
17 5.8927038626609445 44 233
18 7.406015037593985 206 133
19 7.488888888888889 74 180
2 4.946058091286307 30 241
20 6.405882352941177 52 170
21 5.880952380952381 40 126
22 5.722689075630252 31 119
23 6.223684210526316 24 152
24 5.864197530864198 32 162
25 5.502994011976048 40 167
26 6.685714285714286 50 175
3 7.095693779904306 82 209
4 6.902777777777778 59 144
5 6.2024539877300615 36 163
6 6.897297297297297 206 185
7 5.9375 50 144
8 7.228346456692913 45 127
9 6.068702290076335 59 131
#TOTAL_CONTACTS 15860 for 1000 frames
