#resid average_duration max_duration persistent_contacts
1 5.362573099415204 40 171
10 6.2756410256410255 45 156
11 5.420560747663552 34 214
12 5.551724137931035 24 145
13 6.092592592592593 36 162
14 5.67816091954023 35 174
15 5.791164658634538 31 249
16 5.766666666666667 59 150
17 5.826815642458101 40 179
18 5.3076923076923075 51 169
19 7.3090909090909095 73 110
2 6.927083333333333 51 192
20 6.2896174863387975 33 183
21 5.72093023255814 36 172
22 6.160583941605839 67 137
23 5.456375838926174 81 149
24 6.391608391608392 73 143
25 5.2897727272727275 59 176
26 6.688995215311005 45 209
3 6.136612021857924 40 183
4 5.605633802816901 31 213
5 5.66 40 200
6 4.817460317460317 30 126
7 5.352941176470588 37 170
8 6.036144578313253 81 83
9 5.695652173913044 34 161
#TOTAL_CONTACTS 15099 for 1000 frames
