#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 2.000 2.000 2.000 2 2 2 2 7 5
10 2.000 2.000 2.000 2 2 2 3 5 5
11 2.333 2.000 2.000 3 2 2 6 2 6
12 2.000 2.000 2.000 2 2 2 3 3 7
13 2.000 2.000 2.000 2 2 2 2 3 1
14 2.000 2.000 2.000 2 2 2 3 3 1
15 2.000 2.000 2.000 2 2 2 1 2 3
16 2.000 2.000 2.000 2 2 2 3 4 4
17 2.000 2.000 2.000 2 2 2 7 2 6
18 2.000 2.000 2.000 2 2 2 5 5 3
19 2.333 2.000 2.000 3 2 2 3 7 4
2 2.000 2.000 2.000 2 2 2 6 1 3
20 2.000 2.000 2.000 2 2 2 4 5 4
21 2.000 2.000 2.000 2 2 2 6 1 5
22 2.000 2.000 2.000 2 2 2 2 3 5
23 2.000 2.000 2.000 2 2 2 4 3 4
24 2.000 2.000 2.000 2 2 2 5 3 4
25 2.000 2.000 2.000 2 2 2 3 3 3
26 0.000 2.000 2.000 0 2 2 0 3 2
3 2.000 2.000 2.000 2 2 2 2 2 3
4 2.000 2.000 2.000 2 2 2 4 4 4
5 2.000 2.000 2.000 2 2 2 6 1 3
6 2.000 2.000 2.000 2 2 2 5 4 3
7 2.000 2.000 2.000 2 2 2 2 3 1
8 2.167 2.000 2.000 3 2 2 6 6 5
9 2.000 2.000 2.000 2 2 2 3 7 2
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 2268 2296 2426 601
